Type,charge / e-,counts,FitRange
Polya,895.25987,125,false
Polya,939.19198,197,false
Polya,987.1463,305,false
Polya,1039.6227,460,false
Polya,1097.1907,753,false
Polya,1160.4981,925,false
Polya,1230.278,1146,true
Polya,1307.356,1428,true
Polya,1392.6533,1356,true
Polya,1487.1862,1570,true
Polya,1592.0586,1549,true
Polya,1708.4451,1867,true
Polya,1837.5615,1744,true
Polya,1980.6222,1730,true
Polya,2138.7832,1714,true
Polya,2313.0741,1623,true
Polya,2504.3264,1496,true
Polya,2713.1067,1389,true
Polya,2939.6671,1368,true
Polya,3183.9221,1137,true
Polya,3445.4561,882,true
Polya,3723.5617,848,true
Polya,4017.2985,692,true
Polya,4325.5643,520,true
Polya,4647.1657,464,true
Polya,4980.8814,336,true
Polya,5325.5119,258,true
Polya,5679.9154,221,true
Polya,6043.0306,153,true
Polya,6413.8888,125,true
Polya,6791.6171,83,true
Polya,7175.4372,71,true
Polya,7564.66,66,true
Polya,7958.6782,44,true
Polya,8356.9582,21,true
Polya,8759.0325,23,true
Polya,9164.4912,15,true
Polya,9572.9754,9,true
Polya,9984.1703,9,true
Polya,10397.8,9,true
Polya,10813.621,4,true
Polya,11231.42,4,true
Polya,11651.008,3,true
Polya,12072.218,2,true
Polya,12494.902,2,true
Polya,12918.93,0,true
Polya,13344.184,2,true
Polya,13770.559,2,true
Polya,14197.963,1,true
Polya,14626.312,1,true
Polya,15055.53,0,true
Polya,15485.551,0,true
Polya,15916.313,0,true
Polya,16347.76,0,true
Polya,16779.844,0,true
Polya,17212.518,0,true
Polya,17645.741,1,true
Polya,18079.475,0,true
Polya,18513.687,1,true
Polya,18948.345,0,true
Polya,19383.421,0,true
Polya,19818.886,0,true
Polya,20254.719,0,true
Polya,20690.895,0,true
Polya,21127.396,0,true
Polya,21564.2,0,true
Polya,22001.292,0,true
Polya,22438.655,0,true
Polya,22876.273,0,true
Polya,23314.134,0,true
Polya,23752.223,0,true
Polya,24190.528,0,true
Polya,24629.039,0,true
Fit,895.25987,941.13523,false
Fit,930.47803,988.31306,false
Fit,965.6962,1034.2905,false
Fit,1000.9144,1078.9545,false
Fit,1036.1325,1122.2053,false
Fit,1071.3507,1163.9555,false
Fit,1106.5689,1204.1299,false
Fit,1141.787,1242.6644,false
Fit,1177.0052,1279.5052,false
Fit,1212.2234,1314.6088,false
Fit,1247.4415,1347.9405,true
Fit,1282.6597,1379.4745,true
Fit,1317.8779,1409.1928,true
Fit,1353.096,1437.0849,true
Fit,1388.3142,1463.147,true
Fit,1423.5324,1487.3818,true
Fit,1458.7505,1509.7975,true
Fit,1493.9687,1530.4077,true
Fit,1529.1869,1549.2307,true
Fit,1564.405,1566.2893,true
Fit,1599.6232,1581.61,true
Fit,1634.8414,1595.223,true
Fit,1670.0596,1607.1614,true
Fit,1705.2777,1617.4613,true
Fit,1740.4959,1626.1611,true
Fit,1775.7141,1633.3014,true
Fit,1810.9322,1638.9245,true
Fit,1846.1504,1643.0744,true
Fit,1881.3686,1645.7963,true
Fit,1916.5867,1647.1364,true
Fit,1951.8049,1647.1417,true
Fit,1987.0231,1645.8601,true
Fit,2022.2412,1643.3397,true
Fit,2057.4594,1639.6288,true
Fit,2092.6776,1634.776,true
Fit,2127.8957,1628.8296,true
Fit,2163.1139,1621.838,true
Fit,2198.3321,1613.849,true
Fit,2233.5502,1604.9103,true
Fit,2268.7684,1595.0687,true
Fit,2303.9866,1584.3707,true
Fit,2339.2047,1572.862,true
Fit,2374.4229,1560.5874,true
Fit,2409.6411,1547.5911,true
Fit,2444.8592,1533.9161,true
Fit,2480.0774,1519.6049,true
Fit,2515.2956,1504.6986,true
Fit,2550.5137,1489.2375,true
Fit,2585.7319,1473.2607,true
Fit,2620.9501,1456.8065,true
Fit,2656.1682,1439.9117,true
Fit,2691.3864,1422.6124,true
Fit,2726.6046,1404.9433,true
Fit,2761.8227,1386.9381,true
Fit,2797.0409,1368.6292,true
Fit,2832.2591,1350.0482,true
Fit,2867.4772,1331.2252,true
Fit,2902.6954,1312.1894,true
Fit,2937.9136,1292.9688,true
Fit,2973.1318,1273.5904,true
Fit,3008.3499,1254.0798,true
Fit,3043.5681,1234.462,true
Fit,3078.7863,1214.7606,true
Fit,3114.0044,1194.9981,true
Fit,3149.2226,1175.1963,true
Fit,3184.4408,1155.3757,true
Fit,3219.6589,1135.5559,true
Fit,3254.8771,1115.7556,true
Fit,3290.0953,1095.9925,true
Fit,3325.3134,1076.2834,true
Fit,3360.5316,1056.6441,true
Fit,3395.7498,1037.0898,true
Fit,3430.9679,1017.6345,true
Fit,3466.1861,998.29171,true
Fit,3501.4043,979.07388,true
Fit,3536.6224,959.99285,true
Fit,3571.8406,941.05964,true
Fit,3607.0588,922.28458,true
Fit,3642.2769,903.67728,true
Fit,3677.4951,885.24668,true
Fit,3712.7133,867.00108,true
Fit,3747.9314,848.94815,true
Fit,3783.1496,831.09495,true
Fit,3818.3678,813.44796,true
Fit,3853.5859,796.0131,true
Fit,3888.8041,778.79577,true
Fit,3924.0223,761.80085,true
Fit,3959.2404,745.03271,true
Fit,3994.4586,728.49529,true
Fit,4029.6768,712.19203,true
Fit,4064.8949,696.12598,true
Fit,4100.1131,680.29977,true
Fit,4135.3313,664.71562,true
Fit,4170.5494,649.37541,true
Fit,4205.7676,634.28063,true
Fit,4240.9858,619.43246,true
Fit,4276.204,604.83174,true
Fit,4311.4221,590.47903,true
Fit,4346.6403,576.37459,true
Fit,4381.8585,562.5184,true
Fit,4417.0766,548.91019,true
Fit,4452.2948,535.54946,true
Fit,4487.513,522.43545,true
Fit,4522.7311,509.56723,true
Fit,4557.9493,496.94363,true
Fit,4593.1675,484.56331,true
Fit,4628.3856,472.42474,true
Fit,4663.6038,460.52624,true
Fit,4698.822,448.86596,true
Fit,4734.0401,437.44193,true
Fit,4769.2583,426.25201,true
Fit,4804.4765,415.29398,true
Fit,4839.6946,404.56546,true
Fit,4874.9128,394.06401,true
Fit,4910.131,383.78706,true
Fit,4945.3491,373.73198,true
Fit,4980.5673,363.89603,true
Fit,5015.7855,354.27642,true
Fit,5051.0036,344.87029,true
Fit,5086.2218,335.67472,true
Fit,5121.44,326.68674,true
Fit,5156.6581,317.90333,true
Fit,5191.8763,309.32145,true
Fit,5227.0945,300.93799,true
Fit,5262.3126,292.74984,true
Fit,5297.5308,284.75387,true
Fit,5332.749,276.9469,true
Fit,5367.9671,269.32579,true
Fit,5403.1853,261.88733,true
Fit,5438.4035,254.62834,true
Fit,5473.6217,247.54564,true
Fit,5508.8398,240.63603,true
Fit,5544.058,233.89634,true
Fit,5579.2762,227.3234,true
Fit,5614.4943,220.91403,true
Fit,5649.7125,214.66511,true
Fit,5684.9307,208.57348,true
Fit,5720.1488,202.63606,true
Fit,5755.367,196.84974,true
Fit,5790.5852,191.21146,true
Fit,5825.8033,185.71819,true
Fit,5861.0215,180.3669,true
Fit,5896.2397,175.15463,true
Fit,5931.4578,170.07842,true
Fit,5966.676,165.13535,true
Fit,6001.8942,160.32253,true
Fit,6037.1123,155.63712,true
Fit,6072.3305,151.0763,true
Fit,6107.5487,146.63728,true
Fit,6142.7668,142.31734,true
Fit,6177.985,138.11377,true
Fit,6213.2032,134.02389,true
Fit,6248.4213,130.0451,true
Fit,6283.6395,126.17481,true
Fit,6318.8577,122.41047,true
Fit,6354.0758,118.74959,true
Fit,6389.294,115.18969,true
Fit,6424.5122,111.72836,true
Fit,6459.7303,108.36323,true
Fit,6494.9485,105.09195,true
Fit,6530.1667,101.91223,true
Fit,6565.3848,98.821818,true
Fit,6600.603,95.818503,true
Fit,6635.8212,92.900114,true
Fit,6671.0393,90.064521,true
Fit,6706.2575,87.309639,true
Fit,6741.4757,84.633419,true
Fit,6776.6939,82.033857,true
Fit,6811.912,79.508987,true
Fit,6847.1302,77.056884,true
Fit,6882.3484,74.675663,true
Fit,6917.5665,72.363478,true
Fit,6952.7847,70.118523,true
Fit,6988.0029,67.939029,true
Fit,7023.221,65.823267,true
Fit,7058.4392,63.769545,true
Fit,7093.6574,61.776209,true
Fit,7128.8755,59.841641,true
Fit,7164.0937,57.964259,true
Fit,7199.3119,56.142518,true
Fit,7234.53,54.374909,true
Fit,7269.7482,52.659956,true
Fit,7304.9664,50.996219,true
Fit,7340.1845,49.38229,true
Fit,7375.4027,47.816797,true
Fit,7410.6209,46.298399,true
Fit,7445.839,44.825786,true
Fit,7481.0572,43.397681,true
Fit,7516.2754,42.01284,true
Fit,7551.4935,40.670046,true
Fit,7586.7117,39.368115,true
Fit,7621.9299,38.10589,true
Fit,7657.148,36.882244,true
Fit,7692.3662,35.696079,true
Fit,7727.5844,34.546324,true
Fit,7762.8025,33.431935,true
Fit,7798.0207,32.351896,true
Fit,7833.2389,31.305215,true
Fit,7868.457,30.290927,true
Fit,7903.6752,29.308093,true
Fit,7938.8934,28.355797,true
Fit,7974.1115,27.433148,true
Fit,8009.3297,26.539277,true
Fit,8044.5479,25.673341,true
Fit,8079.7661,24.834516,true
Fit,8114.9842,24.022002,true
Fit,8150.2024,23.235021,true
Fit,8185.4206,22.472815,true
Fit,8220.6387,21.734647,true
Fit,8255.8569,21.019799,true
Fit,8291.0751,20.327575,true
Fit,8326.2932,19.657295,true
Fit,8361.5114,19.008301,true
Fit,8396.7296,18.379951,true
Fit,8431.9477,17.771622,true
Fit,8467.1659,17.182707,true
Fit,8502.3841,16.612618,true
Fit,8537.6022,16.060781,true
Fit,8572.8204,15.526642,true
Fit,8608.0386,15.009658,true
Fit,8643.2567,14.509305,true
Fit,8678.4749,14.025073,true
Fit,8713.6931,13.556466,true
Fit,8748.9112,13.103002,true
Fit,8784.1294,12.664213,true
Fit,8819.3476,12.239647,true
Fit,8854.5657,11.828861,true
Fit,8889.7839,11.431428,true
Fit,8925.0021,11.046932,true
Fit,8960.2202,10.674969,true
Fit,8995.4384,10.315148,true
Fit,9030.6566,9.9670891,true
Fit,9065.8747,9.6304229,true
Fit,9101.0929,9.3047914,true
Fit,9136.3111,8.9898474,true
Fit,9171.5292,8.6852536,true
Fit,9206.7474,8.390683,true
Fit,9241.9656,8.1058185,true
Fit,9277.1837,7.8303522,true
Fit,9312.4019,7.5639856,true
