Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Fit,1374.3415,1188.2018,true,0
Fit,1405.2692,1211.523,true,0
Fit,1436.1968,1233.8892,true,0
Fit,1467.1244,1255.2922,true,0
Fit,1498.0521,1275.7263,true,0
Fit,1528.9797,1295.1883,true,0
Fit,1559.9074,1313.6767,true,0
Fit,1590.835,1331.1921,true,0
Fit,1621.7627,1347.7372,true,0
Fit,1652.6903,1363.316,true,0
Fit,1683.618,1377.9345,true,0
Fit,1714.5456,1391.5999,true,0
Fit,1745.4733,1404.3209,true,0
Fit,1776.4009,1416.1075,true,0
Fit,1807.3285,1426.9708,true,0
Fit,1838.2562,1436.9231,true,0
Fit,1869.1838,1445.9775,true,0
Fit,1900.1115,1454.1482,true,0
Fit,1931.0391,1461.4502,true,0
Fit,1961.9668,1467.899,true,0
Fit,1992.8944,1473.5111,true,0
Fit,2023.8221,1478.3033,true,0
Fit,2054.7497,1482.2931,true,0
Fit,2085.6773,1485.4985,true,0
Fit,2116.605,1487.9377,true,0
Fit,2147.5326,1489.6293,true,0
Fit,2178.4603,1490.5925,true,0
Fit,2209.3879,1490.8462,true,0
Fit,2240.3156,1490.4099,true,0
Fit,2271.2432,1489.3032,true,0
Fit,2302.1709,1487.5455,true,0
Fit,2333.0985,1485.1566,true,0
Fit,2364.0262,1482.1562,true,0
Fit,2394.9538,1478.5639,true,0
Fit,2425.8814,1474.3994,true,0
Fit,2456.8091,1469.6823,true,0
Fit,2487.7367,1464.4319,true,0
Fit,2518.6644,1458.6676,true,0
Fit,2549.592,1452.4087,true,0
Fit,2580.5197,1445.6739,true,0
Fit,2611.4473,1438.4823,true,0
Fit,2642.375,1430.8522,true,0
Fit,2673.3026,1422.8021,true,0
Fit,2704.2302,1414.3501,true,0
Fit,2735.1579,1405.514,true,0
Fit,2766.0855,1396.3112,true,0
Fit,2797.0132,1386.7592,true,0
Fit,2827.9408,1376.8747,true,0
Fit,2858.8685,1366.6746,true,0
Fit,2889.7961,1356.175,true,0
Fit,2920.7238,1345.3921,true,0
Fit,2951.6514,1334.3414,true,0
Fit,2982.579,1323.0383,true,0
Fit,3013.5067,1311.4978,true,0
Fit,3044.4343,1299.7346,true,0
Fit,3075.362,1287.7628,true,0
Fit,3106.2896,1275.5966,true,0
Fit,3137.2173,1263.2495,true,0
Fit,3168.1449,1250.7348,true,0
Fit,3199.0726,1238.0653,true,0
Fit,3230.0002,1225.2536,true,0
Fit,3260.9279,1212.3119,true,0
Fit,3291.8555,1199.2521,true,0
Fit,3322.7831,1186.0856,true,0
Fit,3353.7108,1172.8236,true,0
Fit,3384.6384,1159.477,true,0
Fit,3415.5661,1146.0562,true,0
Fit,3446.4937,1132.5714,true,0
Fit,3477.4214,1119.0323,true,0
Fit,3508.349,1105.4486,true,0
Fit,3539.2767,1091.8293,true,0
Fit,3570.2043,1078.1833,true,0
Fit,3601.1319,1064.5191,true,0
Fit,3632.0596,1050.845,true,0
Fit,3662.9872,1037.1689,true,0
Fit,3693.9149,1023.4984,true,0
Fit,3724.8425,1009.8409,true,0
Fit,3755.7702,996.20336,true,0
Fit,3786.6978,982.59261,true,0
Fit,3817.6255,969.01511,true,0
Fit,3848.5531,955.4771,true,0
Fit,3879.4808,941.98452,true,0
Fit,3910.4084,928.54306,true,0
Fit,3941.336,915.15817,true,0
Fit,3972.2637,901.83505,true,0
Fit,4003.1913,888.57864,true,0
Fit,4034.119,875.39367,true,0
Fit,4065.0466,862.28461,true,0
Fit,4095.9743,849.25574,true,0
Fit,4126.9019,836.31109,true,0
Fit,4157.8296,823.45451,true,0
Fit,4188.7572,810.6896,true,0
Fit,4219.6848,798.01981,true,0
Fit,4250.6125,785.44835,true,0
Fit,4281.5401,772.97827,true,0
Fit,4312.4678,760.61241,true,0
Fit,4343.3954,748.35345,true,0
Fit,4374.3231,736.2039,true,0
Fit,4405.2507,724.16609,true,0
Fit,4436.1784,712.24218,true,0
Fit,4467.106,700.43418,true,0
Fit,4498.0336,688.74396,true,0
Fit,4528.9613,677.17322,true,0
Fit,4559.8889,665.72353,true,0
Fit,4590.8166,654.39632,true,0
Fit,4621.7442,643.19289,true,0
Fit,4652.6719,632.1144,true,0
Fit,4683.5995,621.16189,true,0
Fit,4714.5272,610.33629,true,0
Fit,4745.4548,599.63839,true,0
Fit,4776.3825,589.06891,true,0
Fit,4807.3101,578.62842,true,0
Fit,4838.2377,568.31741,true,0
Fit,4869.1654,558.13626,true,0
Fit,4900.093,548.08527,true,0
Fit,4931.0207,538.16464,true,0
Fit,4961.9483,528.37448,true,0
Fit,4992.876,518.71481,true,0
Fit,5023.8036,509.1856,true,0
Fit,5054.7313,499.78669,true,0
Fit,5085.6589,490.5179,true,0
Fit,5116.5865,481.37896,true,0
Fit,5147.5142,472.36951,true,0
Fit,5178.4418,463.48916,true,0
Fit,5209.3695,454.73744,true,0
Fit,5240.2971,446.11383,true,0
Fit,5271.2248,437.61775,true,0
Fit,5302.1524,429.24858,true,0
Fit,5333.0801,421.00561,true,0
Fit,5364.0077,412.88815,true,0
Fit,5394.9354,404.89539,true,0
Fit,5425.863,397.02655,true,0
Fit,5456.7906,389.28075,true,0
Fit,5487.7183,381.65711,true,0
Fit,5518.6459,374.15469,true,0
Fit,5549.5736,366.77255,true,0
Fit,5580.5012,359.50968,true,0
Fit,5611.4289,352.36507,true,0
Fit,5642.3565,345.33766,true,0
Fit,5673.2842,338.42639,true,0
Fit,5704.2118,331.63015,true,0
Fit,5735.1394,324.94783,true,0
Fit,5766.0671,318.37828,true,0
Fit,5796.9947,311.92036,true,0
Fit,5827.9224,305.57288,true,0
Fit,5858.85,299.33466,true,0
Fit,5889.7777,293.20449,true,0
Fit,5920.7053,287.18116,true,0
Fit,5951.633,281.26344,true,0
Fit,5982.5606,275.45009,true,0
Fit,6013.4883,269.73986,true,0
Fit,6044.4159,264.13151,true,0
Fit,6075.3435,258.62378,true,0
Fit,6106.2712,253.21539,true,0
Fit,6137.1988,247.90508,true,0
Fit,6168.1265,242.69157,true,0
Fit,6199.0541,237.5736,true,0
Fit,6229.9818,232.54989,true,0
Fit,6260.9094,227.61915,true,0
Fit,6291.8371,222.78012,true,0
Fit,6322.7647,218.03152,true,0
Fit,6353.6923,213.37208,true,0
Fit,6384.62,208.80053,true,0
Fit,6415.5476,204.3156,true,0
Fit,6446.4753,199.91603,true,0
Fit,6477.4029,195.60056,true,0
Fit,6508.3306,191.36794,true,0
Fit,6539.2582,187.21693,true,0
Fit,6570.1859,183.14628,true,0
Fit,6601.1135,179.15476,true,0
Fit,6632.0411,175.24114,true,0
Fit,6662.9688,171.40422,true,0
Fit,6693.8964,167.64277,true,0
Fit,6724.8241,163.9556,true,0
Fit,6755.7517,160.34151,true,0
Fit,6786.6794,156.79933,true,0
Fit,6817.607,153.32787,true,0
Fit,6848.5347,149.92599,true,0
Fit,6879.4623,146.59252,true,0
Fit,6910.39,143.32633,true,0
Fit,6941.3176,140.12628,true,0
Fit,6972.2452,136.99125,true,0
Fit,7003.1729,133.92014,true,0
Fit,7034.1005,130.91185,true,0
Fit,7065.0282,127.96529,true,0
Fit,7095.9558,125.07938,true,0
Fit,7126.8835,122.25308,true,0
Fit,7157.8111,119.48533,true,0
Fit,7188.7388,116.77508,true,0
Fit,7219.6664,114.12132,true,0
Fit,7250.594,111.52304,true,0
Fit,7281.5217,108.97923,true,0
Fit,7312.4493,106.4889,true,0
Fit,7343.377,104.05109,true,0
Fit,7374.3046,101.66482,true,0
Fit,7405.2323,99.329153,true,0
Fit,7436.1599,97.043148,true,0
Fit,7467.0876,94.805879,true,0
Fit,7498.0152,92.616437,true,0
Fit,7528.9429,90.473921,true,0
