Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Polya,949.91508,38,false,0
Polya,997.01675,34,false,0
Polya,1048.4377,86,false,0
Polya,1104.7086,132,false,0
Polya,1166.4316,206,false,0
Polya,1234.2877,283,false,0
Polya,1309.0427,308,false,0
Polya,1391.5518,410,false,0
Polya,1482.76,466,false,0
Polya,1583.6982,449,true,0
Polya,1695.4698,520,true,0
Polya,1819.2291,620,true,0
Polya,1956.1462,580,true,0
Polya,2107.3602,633,true,0
Polya,2273.92,620,true,0
Polya,2456.7195,652,true,0
Polya,2656.432,638,true,0
Polya,2873.4563,617,true,0
Polya,3107.8821,579,true,0
Polya,3359.4812,544,true,0
Polya,3627.729,459,true,0
Polya,3911.8476,490,true,0
Polya,4210.867,419,true,0
Polya,4523.6909,369,true,0
Polya,4849.1599,342,true,0
Polya,5186.106,250,true,0
Polya,5533.3934,226,true,0
Polya,5889.9486,174,true,0
Polya,6254.7774,148,true,0
Polya,6626.974,131,true,0
Polya,7005.7225,100,true,0
Polya,7390.2953,67,true,0
Polya,7780.0467,62,true,0
Polya,8174.4069,38,true,0
Polya,8572.8741,43,true,0
Polya,8975.0073,36,true,0
Polya,9380.419,22,true,0
Polya,9788.7688,21,true,0
Polya,10199.757,12,true,0
Polya,10613.121,12,true,0
Polya,11028.629,5,true,0
Polya,11446.074,8,true,0
Polya,11865.277,5,true,0
Polya,12286.075,4,true,0
Polya,12708.327,4,true,0
Polya,13131.905,2,true,0
Polya,13556.695,2,true,0
Polya,13982.597,3,true,0
Polya,14409.519,2,true,0
Polya,14837.38,0,true,0
Polya,15266.106,0,true,0
Polya,15695.632,1,true,0
Polya,16125.896,0,true,0
Polya,16556.845,2,true,0
Polya,16988.43,1,true,0
Polya,17420.606,1,true,0
Polya,17853.332,0,true,0
Polya,18286.571,0,true,0
Polya,18720.289,1,true,0
Polya,19154.455,0,true,0
Polya,19589.04,0,true,0
Polya,20024.019,0,true,0
Polya,20459.367,1,true,0
Polya,20895.062,0,true,0
Polya,21331.083,0,true,0
Polya,21767.411,0,true,0
Polya,22204.03,0,true,0
Polya,22640.922,0,true,0
Polya,23078.073,0,true,0
Polya,23515.468,0,true,0
Polya,23953.095,0,true,0
Polya,24390.942,0,true,0
Polya,24828.996,0,true,0
