limits,candsInSens
8.73726395e-41,1
1.01977161e-40,0
7.02264484e-41,1
5.96315589e-41,0
5.95227286e-41,0
1.11570062e-40,0
5.39050613e-41,0
6.62116368e-41,1
5.27126065e-41,0
6.86249969e-41,1
8.195289e-41,1
9.46330324e-41,1
4.76475354e-41,1
6.76693383e-41,0
5.80413111e-41,0
5.02561587e-41,0
5.06452591e-41,0
8.84862125e-41,1
7.42644544e-41,0
8.18825232e-41,1
1.05880892e-40,0
7.21965233e-41,1
5.30222e-41,1
4.84740698e-41,0
7.00161125e-41,1
5.79671116e-41,0
6.32547297e-41,0
5.97512409e-41,0
5.44626644e-41,0
6.95094882e-41,0
5.68368598e-41,1
5.35384329e-41,0
1.20894969e-40,3
6.60553527e-41,1
4.30166672e-41,0
6.7123022e-41,0
7.81199232e-41,1
1.79059022e-39,0
1.19985907e-40,1
7.77650386e-41,0
5.20408685e-41,0
2.18221999e-40,0
7.74051849e-41,1
7.33094526e-41,1
8.13678609e-41,1
9.13729679e-41,3
1.02881477e-40,1
5.73017081e-41,0
7.34968154e-41,1
5.51360419e-41,0
5.37297414e-41,0
6.14366765e-41,1
5.46315301e-41,1
5.85813672e-41,0
6.43507959e-41,0
4.83986211e-41,0
4.51738818e-41,0
5.6931367e-41,0
6.34858358e-41,1
1.1518689e-39,0
9.19567233e-41,1
6.14875894e-41,0
5.78235729e-41,0
4.86462364e-41,0
6.16399449e-41,0
6.07965511e-41,0
7.2153438e-41,1
8.08828165e-41,0
5.29201933e-41,0
5.7621353e-41,0
6.4946677e-41,1
5.5405992e-41,0
8.09069444e-41,1
6.18330539e-41,0
6.02875889e-41,0
4.85025162e-41,1
8.33548715e-41,3
8.73909706e-41,2
8.12626606e-41,1
7.74535043e-41,0
6.16064751e-41,0
7.72708338e-41,1
5.09016613e-41,0
5.12701385e-41,0
4.46393692e-41,0
7.55670908e-41,1
5.49950098e-41,1
7.5179456e-41,0
5.22749341e-41,0
6.37599412e-41,1
5.03407089e-41,0
5.09750496e-41,0
7.37604547e-41,1
6.10074361e-41,1
1.17094954e-40,3
6.96176358e-41,0
6.50418261e-41,1
6.66375873e-41,1
5.41052604e-41,0
7.19775737e-41,0
5.40804789e-41,0
1.09140288e-40,2
9.39630875e-41,1
6.12622428e-41,1
5.86347701e-41,0
7.3116308e-41,1
7.2241323e-41,1
5.13761577e-41,0
1.17413992e-40,2
5.94292041e-41,0
1.10258729e-40,2
7.16228154e-41,0
7.15549507e-41,1
4.43498285e-41,0
5.86743579e-41,0
7.17815028e-41,1
4.5601387e-41,0
7.8959626e-41,0
6.82671712e-41,0
4.86305076e-41,0
4.75419817e-41,0
1.17541494e-40,2
5.86297322e-41,0
7.82400322e-41,1
4.86934294e-41,0
4.92898102e-41,0
4.59724927e-41,0
6.42515317e-41,1
6.29478796e-41,1
5.69416157e-41,0
9.20103197e-41,1
6.31595358e-41,0
9.28187749e-41,2
4.52489684e-41,0
5.97244803e-41,0
1.02575363e-40,1
5.46531031e-41,0
9.26417675e-41,1
6.9278173e-41,1
5.2092007e-41,0
9.47849132e-41,1
9.30415828e-41,1
1.01208523e-40,3
5.13321204e-41,1
4.34236687e-41,0
4.14126951e-41,0
5.5166381e-41,0
6.02308917e-41,0
8.17553579e-41,1
8.99754061e-41,0
5.12998772e-41,0
5.78713653e-41,0
8.13435385e-41,1
6.94719808e-41,0
1.46239953e-40,1
7.72116697e-41,1
5.08876313e-41,0
5.7862991e-41,0
9.57498013e-41,1
8.11175248e-41,0
8.21890007e-41,1
7.10217526e-41,0
1.17934629e-40,2
6.6040322e-41,0
5.85003088e-41,1
5.93088012e-41,0
5.72769081e-41,0
8.71045208e-41,1
7.95960302e-41,1
4.4237367e-41,0
6.40939444e-41,0
5.81036606e-41,1
6.19144904e-41,1
5.99546531e-41,0
1.37975908e-40,3
7.8079776e-41,1
6.85071252e-41,0
5.17763895e-41,0
7.59072394e-41,0
7.07918996e-41,1
5.30498472e-41,0
9.30129378e-41,2
6.40173021e-41,1
7.9105416e-41,1
5.8768071e-41,0
7.1883287e-41,0
9.12945498e-41,1
6.67738622e-41,1
5.06949534e-41,0
8.27608468e-41,0
8.55086663e-41,1
5.13318796e-41,0
8.97543508e-41,1
5.96129093e-41,1
9.32291477e-41,2
6.40520868e-41,2
5.08866742e-41,0
7.76824741e-41,0
4.44343947e-41,0
6.0122101e-41,0
1.00595532e-40,2
5.34461864e-41,0
9.17730792e-41,2
7.02865718e-41,1
9.52118055e-41,1
1.28478456e-40,0
1.00475509e-40,1
6.04698453e-41,0
8.82670572e-41,0
5.65589659e-41,1
8.30075432e-41,2
6.7533132e-41,0
7.31641893e-41,0
8.50673994e-41,0
5.08146663e-41,0
8.45229014e-41,1
7.26716394e-41,0
7.74045025e-41,1
7.75267827e-41,2
1.04902286e-40,2
6.00360923e-41,1
6.17374038e-41,0
8.60226353e-41,1
5.28664204e-41,0
7.09856608e-41,1
5.39326661e-41,0
6.84392111e-41,0
1.13469053e-40,1
7.37739783e-41,0
6.51053143e-41,0
7.88048689e-41,2
6.28821968e-41,1
1.06120539e-40,2
4.90315111e-41,0
9.75717623e-41,1
6.20856477e-41,0
5.3822673e-41,1
8.30295443e-41,1
7.38909583e-41,1
6.62355459e-41,1
7.89701518e-41,2
4.14074706e-41,0
5.30318278e-41,0
5.714995e-41,0
9.33858666e-41,1
6.96963056e-41,0
6.32811137e-41,0
1.30429091e-40,0
8.81560444e-41,1
9.17244917e-41,2
6.6846452e-41,1
5.10351862e-41,0
8.46178188e-41,1
7.4155704e-41,1
7.95808956e-41,1
6.05194814e-41,0
4.08813439e-41,0
6.68538637e-41,0
8.0270032e-41,1
5.18223873e-41,0
8.2780247e-41,1
6.55457859e-41,0
1.04795558e-40,1
6.73909047e-41,2
5.23115213e-41,0
7.75625853e-41,0
9.83743667e-41,1
4.97449391e-41,0
8.60735326e-41,1
1.44734699e-40,2
8.41933707e-41,1
5.56141759e-41,0
5.20647698e-41,0
4.60798719e-41,0
1.12777675e-40,2
8.76090055e-41,1
5.95065709e-41,1
5.74611631e-41,1
6.53982071e-41,0
5.18397364e-41,0
1.27590939e-40,2
9.89426619e-41,1
6.68714165e-41,2
7.58560428e-41,1
7.55905648e-41,1
7.41514508e-41,1
1.17062022e-40,3
5.66344502e-41,0
6.25309365e-41,1
8.05690356e-41,1
5.99026185e-41,0
4.61241643e-41,0
7.36864643e-41,0
5.13769468e-41,0
1.05775143e-40,0
6.87834786e-41,1
9.11172853e-41,2
6.04497295e-41,0
4.14490269e-41,0
8.82545177e-41,1
6.59258634e-41,1
9.74528072e-41,1
8.90154123e-41,1
6.40517779e-41,0
8.75129336e-41,2
1.23241142e-40,1
5.7052601e-41,0
1.00411933e-40,0
6.16626603e-41,1
9.60322528e-41,2
8.97890844e-41,0
5.75587187e-41,0
8.10535479e-41,0
1.00706313e-40,0
4.69204288e-41,0
8.64713745e-41,2
5.00137896e-41,0
5.48416261e-41,0
6.14397242e-41,2
1.13916134e-40,3
5.91633306e-41,1
5.86997838e-41,0
8.1259585e-41,1
4.6669575e-41,0
4.92695367e-41,0
8.31125787e-41,1
6.62318389e-41,0
8.6061802e-41,0
7.66883993e-41,1
7.39371319e-41,1
5.64327934e-41,0
6.5606257e-41,0
4.69102911e-41,0
6.44059873e-41,0
8.2893111e-41,1
8.74936139e-41,0
5.30269246e-41,0
6.26391884e-41,1
1.15951391e-40,3
5.1942714e-41,0
5.14474997e-41,0
6.88064696e-41,1
9.85570625e-41,0
6.36902743e-41,0
5.94481414e-41,1
6.01612397e-41,0
6.14471422e-41,0
6.41960893e-41,0
6.42842587e-41,1
5.4022084e-41,0
4.78366206e-41,0
8.99632985e-41,1
4.55351795e-41,0
7.39957677e-41,2
7.36858422e-41,1
7.86402468e-41,0
1.16149362e-40,1
9.9391703e-41,2
5.39132879e-41,0
8.17453531e-41,0
5.75464905e-41,0
5.17274237e-41,0
9.45205468e-41,1
9.099411e-41,1
6.46476649e-41,1
4.42799293e-41,0
7.23454534e-41,1
9.96999519e-41,1
4.74067201e-41,0
9.75751072e-41,1
1.11499454e-40,2
5.21706755e-41,0
5.95435884e-41,1
5.69691685e-41,0
8.33400035e-41,1
6.36403495e-41,0
5.33548525e-41,0
1.10040962e-40,3
6.0850402e-41,0
7.42738405e-41,0
1.05722853e-39,1
6.17437727e-41,0
4.4570224e-41,0
6.24004412e-41,0
4.81249233e-41,0
7.29099952e-41,2
1.09792401e-40,2
1.07093935e-40,1
4.16643906e-41,0
5.11265699e-41,0
6.57076756e-41,1
7.0885171e-41,1
7.29326408e-41,0
6.1134856e-41,1
6.62103356e-41,0
5.53095755e-41,0
6.89196926e-41,1
7.55378979e-41,1
5.73682291e-41,0
6.9952281e-41,1
5.47489988e-41,0
4.72558653e-41,0
6.44797427e-41,0
6.7209352e-41,1
7.17130571e-41,1
5.76147867e-41,0
9.50437626e-41,1
1.00122208e-40,2
5.1887082e-41,0
5.69281692e-41,1
8.82904471e-41,3
6.74158151e-41,0
5.80277257e-41,0
9.07789708e-41,1
6.95614662e-41,1
8.77136667e-41,1
5.09339738e-41,1
4.42651885e-41,0
7.86786832e-41,2
7.36880017e-41,1
5.37153877e-41,0
8.8745171e-41,1
4.47121821e-41,0
5.20033491e-41,0
7.47483584e-41,2
6.75535547e-41,1
4.68000524e-41,0
5.11787673e-41,0
4.61335578e-41,0
1.14252765e-40,0
9.04679457e-41,0
5.36870262e-41,0
6.73816783e-41,2
4.30615984e-41,0
7.36815988e-41,0
5.42564668e-41,0
6.66843616e-41,1
7.39795614e-41,1
6.61850015e-41,0
7.16535187e-41,1
6.39868391e-41,0
9.07450475e-41,2
7.15322527e-41,0
