limits,candsInSens
1.49867415e+42,0
1.60646693e+42,4
1.24481438e+42,0
1.27249274e+42,3
1.85122797e+42,1
2.03291292e+42,2
1.92501175e+42,1
3.32889707e+42,3
1.77128537e+42,3
1.33003669e+42,0
3.17096442e+42,3
1.56405779e+42,1
1.68735261e+42,2
2.81905137e+42,4
1.76688827e+42,0
1.42259595e+42,2
1.78597955e+42,3
1.16565516e+42,1
2.34352596e+42,4
1.77092145e+42,2
2.96936081e+42,5
1.52927544e+42,2
2.09292164e+42,2
1.44943637e+42,3
1.48654183e+42,2
1.29277205e+42,2
1.83621224e+42,2
2.04709428e+42,3
3.40050921e+42,4
1.37443921e+42,1
3.1113413e+42,4
1.9069895e+42,3
1.71751378e+42,1
1.60449798e+42,1
1.48087635e+42,1
1.79457477e+42,4
1.60679937e+42,1
1.14954276e+42,1
2.85870005e+42,6
9.6872024e+41,0
3.44746122e+42,8
1.37320895e+42,2
1.1562633e+42,2
1.26419746e+42,2
1.99180448e+42,2
1.47982798e+42,0
1.09978076e+42,1
2.55035104e+42,3
1.35428881e+42,3
2.87350178e+42,4
2.53477736e+42,2
1.71997926e+42,3
4.98327567e+42,7
1.75276752e+42,1
1.73675102e+42,1
1.41929209e+42,2
2.26107682e+42,4
1.29064656e+42,4
1.12122297e+42,1
1.46653756e+42,2
1.53208394e+42,1
2.39204094e+42,3
3.52887901e+42,3
2.75460779e+42,0
2.31623467e+42,1
1.79915426e+42,3
2.08784477e+42,1
1.52555064e+42,1
1.86105525e+42,4
2.141925e+42,1
1.22066728e+42,0
1.91318521e+42,3
1.6279852e+42,2
1.0198124e+42,1
1.15954255e+42,1
1.70018987e+42,1
2.05523201e+42,4
2.23214211e+42,1
2.49399187e+42,3
2.93992626e+42,1
1.78406006e+42,3
1.36352417e+42,2
1.81226101e+42,1
1.46491147e+42,1
2.2666688e+42,4
1.67120981e+42,2
1.0070992e+42,0
3.42648982e+42,5
1.55830538e+42,3
1.70670639e+42,1
1.63304374e+42,4
1.19491023e+42,2
2.15698833e+42,3
1.04067989e+42,1
1.44212163e+42,0
2.10690371e+42,3
2.19956456e+42,2
1.05844708e+42,0
1.19826786e+42,1
1.69005394e+42,2
1.91000002e+42,1
1.52703343e+42,1
1.70134351e+42,3
1.18636587e+42,1
1.46456296e+42,3
1.92934928e+42,3
1.47518734e+42,3
2.19539229e+42,5
2.00407311e+42,0
2.50437235e+42,3
2.0349488e+42,2
1.06925202e+42,1
1.93304187e+42,2
1.67175696e+42,1
1.15837777e+42,1
1.51073328e+42,2
2.28757391e+42,0
1.58325962e+42,0
1.62487165e+42,2
1.71335419e+42,2
1.43624378e+42,1
1.31254658e+42,2
1.42287852e+42,0
1.3726439e+42,3
2.28820341e+42,1
1.92694813e+42,3
2.06875663e+42,5
