limits,candsInSens
8.46213241e-23,0
7.12252225e-23,1
8.49586011e-23,2
8.27443687e-23,1
6.60078996e-23,0
7.47489918e-23,1
9.71192352e-23,1
9.24035741e-23,2
7.30425583e-23,0
8.13742395e-23,1
9.93801466e-23,2
7.03660868e-23,1
6.5274579e-23,0
7.50633461e-23,1
8.39789549e-23,2
7.36094804e-23,0
7.97859742e-23,1
7.75359904e-23,2
7.75726924e-23,2
6.7167628e-23,0
9.3421368e-23,3
8.05290205e-23,1
8.41230836e-23,0
8.42585716e-23,2
7.47426933e-23,1
9.33808287e-23,0
8.94631548e-23,2
1.19029849e-22,6
8.16626805e-23,1
8.18384791e-23,2
7.70743246e-23,1
8.26141755e-23,1
8.24292053e-23,0
7.34541366e-23,1
7.28310738e-23,1
7.95906617e-23,2
1.08262457e-22,2
7.48217277e-23,0
8.60349714e-23,2
8.04350786e-23,1
6.95752564e-23,1
8.84060147e-23,1
8.99259632e-23,3
8.1408188e-23,1
9.87075929e-23,2
9.0691119e-23,2
7.72874928e-23,1
9.35100638e-23,2
6.87305981e-23,0
9.56056026e-23,2
8.40919439e-23,1
9.24109958e-23,1
7.99341724e-23,1
7.17261981e-23,0
7.36897515e-23,0
7.21108868e-23,1
7.07447008e-23,0
8.30781199e-23,1
8.40551972e-23,1
6.97424383e-23,0
8.27201851e-23,1
6.94379572e-23,0
8.64290106e-23,0
9.22683085e-23,3
7.94127895e-23,2
7.62128437e-23,1
8.52888443e-23,2
8.88264863e-23,2
8.81482046e-23,2
6.70190982e-23,0
7.98692627e-23,0
7.59309176e-23,1
7.93371689e-23,1
7.28244303e-23,1
7.47152904e-23,0
8.24956099e-23,1
7.49534454e-23,0
7.46157258e-23,0
1.00324781e-22,2
1.07488778e-22,3
9.03311138e-23,1
8.27482729e-23,2
6.48563949e-23,0
8.58859771e-23,1
9.04795402e-23,2
7.42162027e-23,0
8.99832433e-23,2
9.29412391e-23,0
1.02487344e-22,3
7.2386139e-23,1
8.65929229e-23,2
8.30573605e-23,0
8.96338346e-23,1
7.93625194e-23,1
8.72842817e-23,2
7.76903707e-23,1
7.31687352e-23,1
8.15598371e-23,0
1.04904525e-22,4
6.87798194e-23,0
8.76959199e-23,3
8.75551307e-23,2
8.13768571e-23,1
7.89846843e-23,2
8.3159156e-23,1
7.67725334e-23,1
8.25200049e-23,1
8.40621718e-23,0
8.37325071e-23,1
6.53460051e-23,0
7.52229413e-23,0
7.98059992e-23,1
9.10539635e-23,2
7.22886003e-23,0
8.80265235e-23,0
7.64089171e-23,0
8.08034018e-23,1
7.52795176e-23,1
7.06708252e-23,1
7.63693294e-23,1
7.6519616e-23,1
8.99020955e-23,2
1.00739896e-22,3
7.60938286e-23,0
8.17108698e-23,1
6.94977293e-23,0
8.4922229e-23,2
1.09502979e-22,3
8.52692878e-23,1
9.91689472e-23,2
7.41097238e-23,0
8.63783469e-23,1
8.05033367e-23,1
6.84392809e-23,0
7.33966548e-23,1
7.31783695e-23,1
7.80680212e-23,0
7.92135173e-23,1
9.83325271e-23,1
7.03266354e-23,0
7.21916505e-23,0
7.16467017e-23,0
7.6394278e-23,0
9.58596625e-23,3
8.78584911e-23,2
6.63167695e-23,0
8.02986804e-23,1
7.13722231e-23,0
7.72201954e-23,0
8.11206942e-23,1
8.63182675e-23,1
7.4284904e-23,0
8.69922697e-23,3
7.94812633e-23,2
9.85219116e-23,2
7.74318699e-23,0
9.29118832e-23,3
8.75112263e-23,2
6.74851504e-23,1
8.62486547e-23,1
6.8507685e-23,0
7.53568439e-23,0
6.87298883e-23,0
1.03851311e-22,2
7.1050502e-23,1
8.17104474e-23,0
8.30981627e-23,1
9.17132281e-23,3
7.92949987e-23,2
7.00986898e-23,0
7.20422827e-23,1
8.20129421e-23,2
7.16270732e-23,0
6.97281878e-23,0
6.99127205e-23,1
8.24099539e-23,1
8.85299052e-23,1
7.48493041e-23,1
7.32745519e-23,0
8.33328981e-23,0
1.01701709e-22,1
7.86013698e-23,1
8.59256701e-23,2
8.67416192e-23,3
8.09965007e-23,2
7.02328506e-23,0
9.18055978e-23,2
8.82199306e-23,1
6.94406789e-23,0
7.65146043e-23,1
7.10396798e-23,0
7.14884747e-23,0
7.63416059e-23,1
8.88414141e-23,1
8.58760058e-23,2
7.81777718e-23,2
8.98173557e-23,4
1.05774262e-22,4
9.66317556e-23,2
7.75497785e-23,1
9.53816668e-23,2
6.81077805e-23,0
8.08267068e-23,2
7.28465983e-23,1
6.51857772e-23,0
7.4590128e-23,0
7.8825638e-23,2
8.98636809e-23,1
7.56927079e-23,2
7.71457281e-23,1
8.05356045e-23,1
9.02180343e-23,2
9.74068624e-23,2
6.73568054e-23,0
8.26654686e-23,1
6.8726716e-23,0
8.18910769e-23,1
8.46444712e-23,1
8.68946185e-23,2
8.00928045e-23,1
7.47100385e-23,0
6.99211448e-23,1
8.08107051e-23,2
9.05803925e-23,0
1.16450811e-22,4
7.69899553e-23,1
9.06039676e-23,3
7.69923446e-23,0
7.9315891e-23,0
7.8347243e-23,0
7.31466287e-23,0
8.85086587e-23,1
7.6744706e-23,1
8.5717274e-23,1
6.50825958e-23,0
6.91090624e-23,1
8.03419217e-23,1
9.18598437e-23,1
8.06547554e-23,3
9.77152635e-23,3
7.57348821e-23,2
8.39696458e-23,2
9.14560358e-23,2
7.27001266e-23,0
7.67236753e-23,1
8.76440601e-23,1
7.58363957e-23,1
7.15783311e-23,0
6.97589512e-23,0
7.99717481e-23,1
1.04682978e-22,3
8.14993118e-23,2
9.37355636e-23,2
8.65487866e-23,2
7.93186991e-23,0
9.12431976e-23,1
8.40335379e-23,1
7.40485505e-23,1
7.5007884e-23,2
7.86623857e-23,1
7.53891463e-23,1
8.56192858e-23,2
7.54682093e-23,1
9.9250408e-23,2
8.55066216e-23,1
9.1479629e-22,1
7.575043e-23,1
7.92935453e-23,1
8.22151893e-23,1
7.54139816e-23,1
7.98206604e-23,1
9.17660742e-23,1
7.21313444e-23,0
8.44453011e-23,1
7.75812932e-23,1
6.93074884e-23,0
6.68417398e-23,0
7.30600703e-23,1
8.66769817e-23,1
8.69784683e-23,3
8.37374078e-23,1
8.46051387e-23,1
7.14721214e-23,0
6.92903848e-23,0
7.54575139e-23,0
8.42447454e-23,1
6.61027179e-23,0
9.30695924e-23,2
7.39721537e-23,0
1.10333662e-22,3
7.52917911e-23,1
7.40031012e-23,1
8.0110335e-23,2
7.75006299e-23,1
9.72051462e-23,3
8.50141982e-23,1
6.86719955e-23,0
