centerX,centerY,hits,eccentricity,skewnessLongitudinal,skewnessTransverse,kurtosisLongitudinal,kurtosisTransverse,length,width,rmsLongitudinal,rmsTransverse,lengthDivRmsTrans,rotationAngle,energyFromCharge,fractionInTransverseRms,totalCharge,gasGain,eventNumber,Type,Target,σT,runNumber,DataType,isFake?,File,pred
7.4312795,10.938287,127,1.0815866,0.35186569,-0.14419828,-0.085478721,-0.33866431,2.2536198,2.2571021,0.48577398,0.44913092,5.0177348,1.857793,3.326225,0.39370079,4.1272088e+05,3.4777785,26,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.86340976
5.2747973,5.7678153,111,1.1589912,-0.012773345,-0.18744944,-0.31827343,-0.29883151,5.3389389,5.0702608,1.1510959,0.99318777,5.3755584,2.0316055,2.9853876,0.32432432,3.70429471e+05,3.4777785,50,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.97934133
8.2665,4.3280217,115,1.0766338,-0.11141892,-0.055364104,-0.20008742,0.8485677,2.9128031,3.4783562,0.59457703,0.55225559,5.274375,0.95598922,3.2402437,0.3826087,4.02052241e+05,3.4777785,183,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.92483747
10.061563,6.1231696,112,1.2025751,-0.16281023,-0.030878776,0.20800948,-0.033525289,4.9195493,4.0193303,1.004468,0.83526427,5.8898118,2.8556706,2.8928963,0.41964286,3.58953074e+05,3.4777785,189,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.97483093
6.111875,10.160677,96,1.0457171,-0.11043839,0.18930335,0.12225468,-0.69770421,4.9155029,3.8096688,0.97179564,0.92931027,5.2894098,2.1898776,2.6309331,0.38541667,3.26448456e+05,3.4777785,195,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.95223558
9.4955882,6.9720588,102,1.0640498,0.0971756,-0.44660698,-0.29974661,0.27715465,4.626865,4.8254747,0.9975233,0.93747799,4.9354385,2.4375877,2.5373819,0.43137255,3.14840537e+05,3.4777785,266,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.99065816
4.5716748,4.9187621,103,1.1567038,-0.3194502,-0.41420296,0.36340866,1.134231,5.7210681,5.5808357,1.0833238,0.93656113,6.1085901,2.8184147,2.9217108,0.4368932,3.62528408e+05,3.4777785,371,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.98673683
4.5375,3.5698113,106,1.1114872,-0.21912586,-0.10978713,-0.66228151,-0.065813841,5.2245455,5.5867013,1.1354091,1.0215224,5.1144698,0.3560101,2.874297,0.31132075,3.56645261e+05,3.4777785,379,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.96896231
8.9769872,8.1026282,117,1.1249393,-0.058188157,-0.45752718,-0.037829705,-0.10908748,5.8360039,5.1002842,1.1216934,0.99711464,5.8528916,3.0060486,2.9761184,0.30769231,3.69279346e+05,3.4777785,434,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.95635593
11.06848,7.9636765,102,1.3167976,0.32561437,-0.012050281,-0.089618358,-0.40816716,2.804076,2.1081667,0.56624466,0.43001646,6.5208573,0.77488703,2.6747242,0.28431373,3.31882095e+05,3.4777785,450,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.75663429
