Scintillator,Clocks,runNumber,fadcReadout,eventDuration
SiPM,7,240,1,1.6828625
SiPM,39,240,1,0.92892378
SiPM,11,240,1,0.0720838
SiPM,23,240,1,1.8172455
SiPM,15,240,1,0.3695308
SiPM,26,240,1,1.06127
SiPM,30,240,1,0.0741339
SiPM,50,240,1,0.72155273
SiPM,20,240,1,2.0891256
SiPM,8,240,1,0
SiPM,19,240,1,1.7371739
SiPM,57,240,1,1.8707211
SiPM,26,240,1,0.71540185
SiPM,53,240,1,0.47002895
SiPM,46,240,1,1.1114475
SiPM,30,240,1,0.65263295
SiPM,26,240,1,0.30322735
SiPM,53,240,1,0.70373257
SiPM,20,240,1,1.3525998
SiPM,54,240,1,1.2414608
SiPM,51,240,1,0.015994125
SiPM,15,240,1,0.30927573
SiPM,44,240,1,1.4038288
SiPM,49,240,1,1.6693651
SiPM,28,240,1,1.6685488
SiPM,12,240,1,0.75279295
SiPM,34,240,1,2.005393
SiPM,19,240,1,1.381163
SiPM,38,240,1,0.13054425
SiPM,35,240,1,1.4269165
SiPM,42,240,1,0
SiPM,53,240,1,1.061884
SiPM,23,240,1,1.0994963
SiPM,32,240,1,1.9282922
SiPM,23,240,1,1.1949245
SiPM,38,240,1,2.2275345
SiPM,17,240,1,0.7287291
SiPM,48,240,1,0.24584975
SiPM,17,240,1,2.2565031
SiPM,13,240,1,0
SiPM,42,240,1,0.88221918
SiPM,39,240,1,0
SiPM,19,240,1,0.062726975
SiPM,14,240,1,0.5373232
SiPM,27,240,1,1.9203167
SiPM,39,240,1,0.20764333
SiPM,29,240,1,0
SiPM,16,240,1,0
SiPM,43,240,1,1.3104382
SiPM,19,240,1,0.66019295
SiPM,29,240,1,0.28591292
SiPM,25,240,1,1.0335104
SiPM,60,240,1,1.8715456
SiPM,15,240,1,2.1602145
SiPM,20,240,1,1.5754463
SiPM,30,240,1,0.91476612
SiPM,51,240,1,0
SiPM,21,240,1,1.7289808
SiPM,63,240,1,0.1129038
SiPM,28,240,1,1.7741006
SiPM,18,240,1,1.7999227
SiPM,57,240,1,1.2850107
SiPM,32,240,1,2.0711845
SiPM,15,242,1,1.4464417
SiPM,34,242,1,0.22659385
SiPM,17,242,1,0.45110022
SiPM,12,242,1,0.91781353
SiPM,49,242,1,0.76787878
SiPM,11,242,1,2.0315026
SiPM,49,242,1,1.0597931
SiPM,20,242,1,0.90089565
SiPM,29,242,1,0.86557962
SiPM,18,242,1,1.4046136
SiPM,38,242,1,1.4399653
SiPM,35,242,1,0
SiPM,20,242,1,0.52357645
SiPM,22,242,1,1.9046542
SiPM,23,242,1,1.0042518
SiPM,39,242,1,0
SiPM,45,242,1,0.64073558
SiPM,57,242,1,1.2498996
SiPM,35,242,1,0.36546992
SiPM,38,242,1,1.805284
SiPM,19,242,1,0.3503401
SiPM,24,242,1,0.11086365
SiPM,36,242,1,0.10047937
SiPM,14,242,1,0.3521399
SiPM,42,242,1,1.1041153
SiPM,12,242,1,0.32252253
SiPM,21,242,1,2.1171407
