eventDuration,fadcReadout,szint1,szint2,runNumber
0.85938227,1,0,4095,240
0.078519225,1,0,4095,240
1.1167124,1,0,24,240
0.78912512,1,0,4095,240
2.2278316,1,0,4095,240
0.8333462,1,0,60,240
1.2002032,1,0,4095,240
0,1,0,4095,240
1.2387498,1,0,4095,240
0.30021792,1,0,38,240
0.82238225,1,0,4095,240
1.7416482,1,0,4095,240
0.76329185,1,0,4095,240
0.6630546,1,0,4095,240
1.9981987,1,0,16,240
1.6081669,1,0,4095,240
0.24245677,1,0,4095,240
1.0713487,1,0,4095,240
0.82151328,1,0,4095,240
0.74984092,1,0,4095,240
0.96563747,1,0,4095,240
2.0929193,1,0,21,240
0.7479822,1,0,51,240
0.042231025,1,0,4095,240
0.5232221,1,0,4095,240
0.28640305,1,0,4095,240
0.01495555,1,0,30,240
1.6049193,1,0,4095,240
0.90765465,1,0,48,240
1.8217141,1,0,4095,240
1.0190656,1,0,8,240
0.1133258,1,0,4095,240
1.2888391,1,0,8,240
1.9854519,1,0,4095,240
0.081934825,1,0,36,240
1.2763971,1,0,4095,240
1.2855978,1,0,4095,240
0.31830675,1,0,4095,240
2.1142892,1,0,4095,240
1.120923,1,0,4095,240
0.05705335,1,0,4095,240
0.36168725,1,0,4095,240
0.210079,1,0,4095,240
1.2049002,1,0,4095,240
0.051041725,1,0,4095,240
2.1153,1,0,18,240
0.87638765,1,0,26,240
1.3270478,1,0,4095,240
1.6828625,1,7,4095,240
1.7281929,1,0,24,240
0.51282313,1,0,4095,240
0.7918869,1,0,4095,240
2.1991707,1,0,31,240
1.9095903,1,0,50,240
1.799067,1,0,4095,240
2.0664461,1,0,4095,240
0.033259275,1,0,4095,240
1.7058139,1,0,4095,240
0.2033857,1,0,4095,240
0.17368887,1,0,24,240
2.1371416,1,0,26,240
2.1170582,1,0,4095,240
0.92892378,1,39,4095,240
0.35798293,1,0,4095,240
1.867526,1,0,4095,240
1.1344436,1,0,4095,240
0.5563864,1,0,4095,240
1.233534,1,0,51,240
0.85394635,1,0,4095,240
1.6955602,1,0,31,240
0.13697935,1,0,4095,240
2.0913108,1,0,4095,240
0.94209245,1,0,4095,240
0,1,0,4095,240
0.54455297,1,0,4095,240
1.1331864,1,0,43,240
2.0213174,1,0,34,240
1.1336656,1,0,4095,240
0.5723751,1,0,35,240
1.1611333,1,0,15,240
0.7912824,1,0,51,240
0.29156145,1,0,28,240
1.4603781,1,0,4095,240
0.3870153,1,0,31,240
1.2266853,1,0,4095,240
1.6927479,1,0,4095,240
0.50962345,1,0,4095,240
1.9197542,1,0,43,240
0.68394827,1,0,4095,240
1.0713907,1,0,34,240
0.4217606,1,0,55,240
0.40369003,1,0,4095,240
0.1119374,1,0,4095,240
0.3701781,1,0,4095,240
0.26736725,1,0,4095,240
1.0950279,1,0,4095,240
0.0720838,1,11,8,240
1.1051589,1,0,33,240
0.78702268,1,0,33,240
0.4592193,1,0,4095,240
0.86695205,1,0,4095,240
1.484588,1,0,4095,240
1.198933,1,0,23,240
0.91929882,1,0,27,240
0.23299977,1,0,4095,240
0.15787165,1,0,9,240
0.3048197,1,0,4095,240
0.454575,1,0,4095,240
1.2914389,1,0,4095,240
0.067139225,1,0,4095,240
0.62623463,1,0,4095,240
1.0222918,1,0,4095,240
0.7251265,1,0,4095,240
1.0192101,1,0,4095,240
0.56231763,1,0,4095,240
0.26903222,1,0,45,240
1.5298268,1,0,4095,240
0.004760925,1,0,0,240
0.9818737,1,0,32,240
0.3319752,1,0,4095,240
1.721673,1,0,47,240
1.0614519,1,0,4095,240
0.91974327,1,0,47,240
1.0875413,1,0,4095,240
0.70801622,1,0,4095,240
0.86978668,1,0,48,240
0.50205522,1,0,4095,240
1.1805895,1,0,4095,240
1.6384323,1,0,4095,240
0.58911123,1,0,23,240
2.0569842,1,0,35,240
0,1,0,4095,240
0.69694563,1,0,4095,240
1.4607438,1,0,4095,240
1.2482431,1,0,4095,240
0.21422785,1,0,4095,240
0.2747047,1,0,16,240
0.62167222,1,0,4095,240
0.99702705,1,0,15,240
0,1,0,4095,240
1.8172455,1,23,21,240
1.024753,1,0,4095,240
1.1831652,1,0,4095,240
0.67907382,1,0,4095,240
0.969111,1,0,4095,240
2.2393881,1,0,4095,240
0.90416107,1,0,26,240
1.4885518,1,0,4095,240
0.82703805,1,0,16,240
0.30340757,1,0,4095,240
0,1,0,4095,240
1.3833292,1,0,4095,240
1.0971155,1,0,41,240
0.8451957,1,0,4095,240
0,1,0,4095,240
0.21214525,1,0,4095,240
0.054415625,1,0,4095,240
0.74240585,1,0,4095,240
0,1,0,4095,240
2.1626857,1,0,43,240
1.5801234,1,0,18,240
1.2873432,1,0,11,240
1.9561429,1,0,4095,240
1.8506204,1,0,4095,240
2.2171581,1,0,37,240
1.8577053,1,0,4095,240
2.009292,1,0,4095,240
0.98154193,1,0,33,240
0.30697785,1,0,4095,240
1.5917778,1,0,4095,240
1.1836884,1,0,4095,240
1.5931246,1,0,4095,240
0.91710175,1,0,4095,240
0.2059741,1,0,41,240
0.26299197,1,0,4095,240
2.0518416,1,0,4095,240
0.47909095,1,0,4095,240
