eventDuration,fadcReadout,szint1,szint2,runNumber
1.1167124,1,0,24,240
0.8333462,1,0,60,240
0.30021792,1,0,38,240
1.9981987,1,0,16,240
1.8714096,1,4095,27,240
2.0066741,1,4095,41,240
2.0929193,1,0,21,240
0.7479822,1,0,51,240
0.01495555,1,0,30,240
0.90765465,1,0,48,240
1.0190656,1,0,8,240
1.2888391,1,0,8,240
0.081934825,1,0,36,240
2.1153,1,0,18,240
0.87638765,1,0,26,240
1.7281929,1,0,24,240
2.1991707,1,0,31,240
1.9095903,1,0,50,240
2.1410718,1,4095,54,240
0.17368887,1,0,24,240
2.1371416,1,0,26,240
2.160735,1,4095,54,240
1.233534,1,0,51,240
1.6955602,1,0,31,240
1.1331864,1,0,43,240
2.0213174,1,0,34,240
0.5723751,1,0,35,240
1.1611333,1,0,15,240
0.7912824,1,0,51,240
0.29156145,1,0,28,240
0.3870153,1,0,31,240
1.9197542,1,0,43,240
1.0713907,1,0,34,240
0.4217606,1,0,55,240
0.0720838,1,11,8,240
1.1051589,1,0,33,240
0.78702268,1,0,33,240
1.5658732,1,4095,24,240
1.198933,1,0,23,240
0.91929882,1,0,27,240
0.15787165,1,0,9,240
0.26903222,1,0,45,240
0.9818737,1,0,32,240
2.1256716,1,4095,17,240
1.721673,1,0,47,240
0.91974327,1,0,47,240
0.86978668,1,0,48,240
0.58911123,1,0,23,240
2.0569842,1,0,35,240
0.2747047,1,0,16,240
0.99702705,1,0,15,240
1.8172455,1,23,21,240
0.90416107,1,0,26,240
0.82703805,1,0,16,240
1.0971155,1,0,41,240
2.1626857,1,0,43,240
1.5801234,1,0,18,240
1.2873432,1,0,11,240
2.2171581,1,0,37,240
0.98154193,1,0,33,240
1.0349024,1,4095,36,240
0.2059741,1,0,41,240
2.1456044,1,0,50,240
0.95495887,1,0,24,240
0.26045563,1,0,24,240
2.2389942,1,0,39,240
1.6673521,1,0,24,240
0.3695308,1,15,12,240
1.5134597,1,0,14,240
1.490702,1,0,40,240
1.1347045,1,0,30,240
1.3785318,1,0,15,240
0.50084825,1,0,24,240
0.33311028,1,0,30,240
0.82714773,1,4095,21,240
2.1610035,1,4095,17,240
0.60043057,1,0,55,240
