eventDuration,fadcReadout,szint1,szint2,runNumber
0.81130135,1,0,780,240
1.6909506,1,4095,2769,240
1.4640405,1,0,3464,240
0.31371083,1,0,2791,240
0.31132495,1,0,3741,240
1.3496877,1,0,697,240
1.5110797,1,0,2652,240
0.9899842,1,0,708,240
0.80666757,1,0,2440,240
0.3394075,1,0,3171,240
0.31394088,1,0,1741,240
1.4038452,1,4095,2993,240
1.8320737,1,0,3052,240
1.9401892,1,0,1359,240
2.1351925,1,0,2063,240
1.2106339,1,0,932,240
1.624325,1,0,377,240
0.086217325,1,0,649,240
1.403125,1,0,812,240
0.019819375,1,0,3930,240
2.0363401,1,0,3527,240
2.0622576,1,0,2693,240
0.93650665,1,0,2597,240
0.8361007,1,4095,1962,240
0.43921655,1,0,1594,240
1.3140378,1,0,2783,240
1.4845339,1,0,3579,240
0.87735268,1,0,3880,240
0.23579425,1,0,3718,242
0.81758257,1,0,2005,242
1.8009529,1,0,3179,242
1.6660419,1,4095,3048,242
0.41555295,1,0,2765,242
0.3460726,1,0,776,242
0.63315515,1,0,2075,242
0.16123817,1,0,1990,242
1.4216588,1,0,3887,242
0.0580367,1,0,2106,242
1.927428,1,0,3748,242
1.5094812,1,0,2100,242
0.19052785,1,0,2263,242
1.9730464,1,0,527,242
2.1192236,1,0,3879,242
2.129229,1,0,2127,242
1.1588984,1,0,937,242
0.42951578,1,0,3735,242
1.7918026,1,0,1666,242
1.3839278,1,0,2847,242
2.2577994,1,4095,2701,242
0.86658278,1,4095,654,242
2.1185606,1,0,3902,242
1.5289843,1,0,892,244
0,1,0,1535,244
0,1,0,767,244
0.62803875,1,0,2574,244
0.1119393,1,0,351,244
1.1050248,1,0,3834,244
0.95400743,1,0,3118,244
1.3230575,1,0,1612,244
0.84857053,1,0,3346,244
0.26513933,1,0,802,244
0.8591112,1,4095,2295,244
1.6447017,1,0,2593,244
1.4112249,1,0,364,244
0.76387947,1,0,2270,244
0.96500553,1,0,1556,246
1.343002,1,0,1759,246
1.3239605,1,0,3087,246
1.1645924,1,4095,2789,246
0.65276555,1,0,3705,246
1.0184619,1,0,2209,246
0.14208558,1,0,2850,246
1.9773699,1,0,2814,246
0.08343895,1,0,2815,246
0.3960557,1,0,3426,246
0.282544,1,0,739,246
1.980725,1,0,3012,248
0.58044703,1,0,3188,248
1.8088987,1,0,1839,248
1.0715033,1,0,1130,248
0.61183328,1,0,2740,248
0.72156343,1,0,3008,248
7.5e-08,1,0,1313,248
0.00960375,1,0,2781,248
1.6174396,1,4095,2913,248
2.0105288,1,0,428,248
2.0512257,1,0,800,248
0.42119767,1,0,1395,248
0.25480042,1,0,1969,248
0.005630725,1,0,2261,248
0.44213225,1,0,844,248
2.0811304,1,0,1277,248
1.1754691,1,0,3115,248
0.57537463,1,0,1027,248
1.2189551,1,4095,2244,250
0.80366325,1,17,1176,250
2.0115152,1,0,554,250
0.12780102,1,0,3137,250
0.062785125,1,0,2603,250
0.27366983,1,0,2670,250
0.26330912,1,0,1149,250
0.36397097,1,0,849,250
1.7486115,1,0,3326,250
1.4044309,1,0,1083,250
1.6736013,1,0,353,250
1.1107949,1,4095,918,250
0.64846375,1,4095,3317,250
1.2256641,1,0,467,250
0.8598932,1,4095,2714,250
1.7656256,1,0,1531,250
0.30108453,1,0,2715,254
1.6842423,1,0,2900,254
1.5091169,1,0,3105,254
2.1560067,1,0,3724,254
1.1157519,1,0,2901,254
1.8282114,1,0,1195,254
0.220671,1,0,3582,254
0.91498315,1,0,3811,254
1.724158,1,0,2315,254
1.3584318,1,0,1400,254
0.0480091,1,0,3969,254
0.9577176,1,4095,2301,254
0.3972509,1,0,894,254
0.76485538,1,0,1859,254
0.457212,1,0,2350,254
0.21385002,1,0,2607,254
1.1971706,1,4095,1289,256
1.5229067,1,0,3260,256
0.59510828,1,0,2327,256
1.4421109,1,0,464,256
1.9536514,1,0,3884,256
0.83810732,1,0,3918,256
1.4594668,1,0,954,256
1.8649772,1,0,3686,256
2.1730058,1,0,3190,256
2.0754866,1,0,3574,256
0.0169612,1,0,3301,256
0,1,0,3639,256
0,1,0,2438,256
1.2828358,1,4095,876,256
1.1497245,1,0,1648,256
0.66973903,1,0,355,256
0.2281053,1,0,2696,256
1.7278179,1,0,390,256
1.1266964,1,0,1631,256
0.5050231,1,0,486,256
1.0612154,1,0,532,256
0.41572985,1,0,2691,256
1.3967365,1,0,2249,256
1.9717999,1,0,3065,256
1.1803858,1,0,535,256
0.98820778,1,0,2793,256
0.63571623,1,0,1975,256
1.3268013,1,0,2685,256
0.31161035,1,0,3791,256
1.5347946,1,4095,2227,256
1.403089,1,0,798,258
0.8762786,1,0,1358,258
