     E(keV)        Area(cm^2)   Area_lower_limit(cm^2)   Area_higher_limit(cm^2)
     0.000000      9.40788      8.93055      9.87147
     0.100000      2.51070      1.76999      3.56970
     0.200000      5.96852      5.06843      6.93198
     0.300000      4.05163      3.55871      4.60069
     0.400000      5.28723      4.70362      5.92018
     0.500000      6.05037      5.50801      6.63493
     0.600000      5.98980      5.44433      6.56380
     0.700000      6.33760      5.81250      6.86565
     0.800000      6.45533      5.97988      6.94818
     0.900000      6.68399      6.22210      7.15994
      1.00000      6.87400      6.42313      7.32568
      1.10000      7.01362      6.57078      7.44991
      1.20000      7.11297      6.68403      7.53477
      1.30000      7.18784      6.76026      7.60188
      1.40000      7.23464      6.82698      7.65152
      1.50000      7.26598      6.85565      7.66851
      1.60000      7.28027      6.86977      7.67453
      1.70000      7.26311      6.86645      7.66171
      1.80000      7.22509      6.83192      7.61740
      1.90000      7.14513      6.76611      7.52503
      2.00000      6.96418      6.58820      7.32984
      2.10000      5.28441      5.00942      5.55890
      2.20000      3.64293      3.45370      3.82893
      2.30000      5.17823      4.90664      5.44582
      2.40000      5.29972      5.02560      5.57611
      2.50000      5.29166      5.02555      5.57095
      2.60000      5.17942      4.91425      5.43329
      2.70000      4.92675      4.67978      5.18098
      2.80000      4.92422      4.66858      5.17432
      2.90000      4.83265      4.58795      5.08459
      3.00000      4.64834      4.41387      4.89098
      3.10000      4.48627      4.25116      4.71454
      3.20000      4.32814      4.10899      4.54668
      3.30000      3.87031      3.67460      4.06278
      3.40000      3.89333      3.69223      4.08736
      3.50000      3.75352      3.56772      3.94183
      3.60000      3.61221      3.42768      3.80420
      3.70000      3.46818      3.29037      3.64201
      3.80000      3.32016      3.15505      3.48456
      3.90000      3.17041      3.01480      3.33551
      4.00000      3.04002      2.89112      3.19354
      4.10000      2.92822      2.77496      3.07581
      4.20000      2.83223      2.68999      2.97101
      4.30000      2.75802      2.62376      2.89749
      4.40000      2.70725      2.57595      2.84811
      4.50000      2.67713      2.54676      2.81281
      4.60000      2.65149      2.51998      2.79036
      4.70000      2.63603      2.49892      2.76500
      4.80000      2.62106      2.48499      2.74512
      4.90000      2.59448      2.46589      2.72548
      5.00000      2.57046      2.44006      2.69469
      5.10000      2.51863      2.39225      2.64581
      5.20000      2.46466      2.34102      2.59012
      5.30000      2.39657      2.28420      2.52211
      5.40000      2.31733      2.20173      2.43143
      5.50000      2.21955      2.10627      2.33477
      5.60000      2.11426      2.00487      2.22538
      5.70000      1.99456      1.89231      2.09010
      5.80000      1.86591      1.77417      1.95653
      5.90000      1.73497      1.64622      1.81953
      6.00000      1.59237      1.51306      1.67284
      6.10000      1.45550      1.38534      1.52900
      6.20000      1.33256      1.26031      1.39593
      6.30000      1.20009      1.14277      1.25704
      6.40000      1.07115      1.01851      1.12448
      6.50000     0.944040     0.897608     0.994300
      6.60000     0.828339     0.789374     0.870435
      6.70000     0.722937     0.688079     0.758932
      6.80000     0.627080     0.597309     0.660507
      6.90000     0.545085     0.516732     0.571642
      7.00000     0.481132     0.457127     0.505227
      7.10000     0.423823     0.403220     0.445761
      7.20000     0.370171     0.348710     0.386129
      7.30000     0.328028     0.310948     0.343690
      7.40000     0.293733     0.279152     0.306525
      7.50000     0.259442     0.247721     0.274605
      7.60000     0.231223     0.218455     0.242279
      7.70000     0.201053     0.191667     0.211237
      7.80000     0.175139     0.165103     0.183161
      7.90000     0.151070     0.143109     0.157540
      8.00000     0.130067     0.124041     0.137920
      8.10000     0.112546     0.107749     0.118835
      8.20000    0.0968375    0.0925635     0.102325
      8.30000    0.0822480    0.0793159    0.0869345
      8.40000    0.0702135    0.0663249    0.0735076
      8.50000    0.0600575    0.0568445    0.0630225
      8.60000    0.0531925    0.0505370    0.0556891
      8.70000    0.0484358    0.0456704    0.0507011
      8.80000    0.0443916    0.0423944    0.0468592
      8.90000    0.0425238    0.0400177    0.0437900
      9.00000    0.0411155    0.0390395    0.0431556
      9.10000    0.0414942    0.0388274    0.0425392
      9.20000    0.0400093    0.0377036    0.0428116
      9.30000    0.0388031    0.0368386    0.0406539
      9.40000    0.0362162    0.0347591    0.0379175
      9.50000    0.0334017    0.0321278    0.0345178
      9.60000    0.0298511    0.0282838    0.0315425
      9.70000    0.0265410    0.0249835    0.0277675
      9.80000    0.0226989    0.0217580    0.0238451
      9.90000    0.0194717    0.0181364    0.0202867
      10.0000    0.0159169    0.0150382    0.0169965
