Energy[keV],EffectiveArea[cm²]
0.3,4.313
0.3106,4.372
0.3213,4.425
0.3319,4.567
0.3425,4.679
0.3532,4.792
0.3638,4.904
0.3745,5.069
0.3851,5.176
0.3957,5.264
0.4064,5.412
0.417,5.495
0.4276,5.566
0.4383,5.637
0.4489,5.702
0.4595,5.761
0.4702,5.82
0.4808,5.873
0.4914,5.92
0.5021,5.968
0.5127,6.021
0.5234,6.044
0.534,5.991
0.5446,5.956
0.5553,5.914
0.5659,5.873
0.5765,5.903
0.5872,5.973
0.5978,5.985
0.6084,5.991
0.6191,6.027
0.6297,6.074
0.6404,6.092
0.651,6.092
0.6616,6.139
0.6723,6.168
0.6829,6.18
0.6935,6.192
0.7042,6.21
0.7148,6.257
0.7254,6.263
0.7361,6.287
0.7467,6.322
0.7573,6.328
0.768,6.34
0.7786,6.357
0.7893,6.363
0.7999,6.375
0.8105,6.387
0.8212,6.399
0.8318,6.405
0.8424,6.417
0.8531,6.44
0.8637,6.446
0.8743,6.47
0.885,6.476
0.8956,6.482
0.9062,6.529
0.9169,6.529
0.9275,6.535
0.9382,6.558
0.9488,6.558
0.9594,6.57
0.9701,6.612
0.9807,6.612
0.9913,6.629
1.002,6.635
1.013,6.635
1.023,6.635
1.034,6.641
1.045,6.659
1.055,6.671
1.066,6.694
1.076,6.712
1.087,6.73
1.098,6.73
1.108,6.747
1.119,6.771
1.13,6.771
1.14,6.771
1.151,6.771
1.162,6.777
1.172,6.783
1.183,6.783
1.193,6.795
1.204,6.801
1.215,6.812
1.225,6.824
1.236,6.83
1.247,6.842
1.257,6.842
1.268,6.848
1.279,6.842
1.289,6.836
1.3,6.836
1.31,6.824
1.321,6.824
1.332,6.83
1.342,6.842
1.353,6.842
1.364,6.854
1.374,6.86
1.385,6.877
1.396,6.877
1.406,6.883
1.417,6.883
1.427,6.877
1.438,6.877
1.449,6.877
1.459,6.877
1.47,6.877
1.481,6.883
1.491,6.883
1.502,6.883
1.512,6.883
1.523,6.895
1.534,6.895
1.544,6.913
1.555,6.931
1.566,6.931
1.576,6.931
1.587,6.931
1.598,6.931
1.608,6.931
1.619,6.925
1.629,6.919
1.64,6.925
1.651,6.925
1.661,6.925
1.672,6.931
1.683,6.925
1.693,6.925
1.704,6.925
1.715,6.931
1.725,6.913
1.736,6.907
1.746,6.907
1.757,6.907
1.768,6.901
1.778,6.883
1.789,6.883
1.8,6.871
1.81,6.871
1.821,6.83
1.832,6.789
1.842,6.742
1.853,6.653
1.863,6.6
1.874,6.552
1.885,6.523
1.895,6.529
1.906,6.541
1.917,6.541
1.927,6.541
1.938,6.541
1.949,6.552
1.959,6.564
1.97,6.564
1.98,6.564
1.991,6.558
2.002,6.547
2.012,6.541
2.023,6.517
2.034,6.493
2.044,6.487
2.055,6.464
2.066,6.428
2.076,6.428
2.087,6.417
2.097,6.399
2.108,6.393
2.119,6.375
2.129,6.357
2.14,6.334
2.151,6.304
2.161,6.287
2.172,6.233
2.183,6.18
2.193,6.103
2.204,5.95
2.214,5.761
2.225,5.371
