fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07692,4.321,6.449,1509387848,2.839,2.115,1.246,5.156,16.36,1.784,3.651,97.64,2.648,5.006,1.378,0.09859,18.92,12.45,3.51,0.006609,7.813,background,30/10/2017
0.07463,4.255,11.09,1509393262,2.832,2.448,1.219,4.353,15.78,1.635,3.353,73.63,2.261,4.911,1.516,0.09075,18.26,7.956,3.384,0.005373,6.768,background,30/10/2017
0.07333,4.241,88.77,1509398679,2.812,7.648,1.023,4.464,16.29,1.693,3.365,104.8,6.908,4.82,0.4298,0.09609,18.05,76.36,3.461,0.005408,10.46,background,30/10/2017
0.06278,4.62,17.76,1509404093,3.077,3.246,1.651,5.615,17.21,1.84,4.046,96.73,3.455,5.143,2.76,0.08596,19.45,18.67,3.641,0.005989,8.127,background,30/10/2017
0.08125,4.202,7.861,1509409500,2.742,2.304,1.161,4.155,16.23,1.916,4.976,71.99,2.454,4.77,1.825,0.09391,18.04,9.224,3.223,0.00527,6.112,background,30/10/2017
0.06937,4.557,7.848,1509414898,2.728,1.947,1.249,5.226,17.66,2.16,5.668,61.12,1.681,5.098,1.634,0.08255,19.08,5.134,3.439,0.004708,5.523,background,30/10/2017
0.06338,4.412,18.01,1509420318,2.861,3.197,1.418,4.63,16.57,1.587,2.872,99.69,2.787,5.039,1.855,0.08738,19.04,12.56,3.541,0.005895,8.153,background,30/10/2017
0.07895,4.157,1.968,1509425733,2.795,1.367,1.325,5.817,15.82,2.034,5.154,73.86,1.383,4.834,1.644,0.1003,18.49,1.96,3.461,0.006712,6.031,background,30/10/2017
0.06897,4.186,26.62,1509431158,2.909,3.777,1.305,6.284,16.25,2.049,4.831,104.4,3.759,4.96,1.471,0.08866,18.76,26.94,3.541,0.005417,9.036,background,30/10/2017
0.06849,4.309,3.065,1509436575,3.165,1.659,1.566,5.613,16.35,1.931,4.91,55.67,1.358,4.909,3.295,0.08491,18.19,2.017,3.733,0.004957,5.71,background,30/10/2017
