fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07692,4.321,6.449,1509387848,3.012,2.115,1.246,5.805,16.36,1.784,3.651,97.64,2.648,5.006,1.378,0.09859,18.92,12.45,3.725,0.006609,7.813,background,30/10/2017
0.07463,4.255,11.09,1509393262,2.994,2.448,1.219,4.866,15.78,1.635,3.353,73.63,2.261,4.911,1.516,0.09075,18.26,7.956,3.578,0.005373,6.768,background,30/10/2017
0.07333,4.241,88.77,1509398679,2.977,7.648,1.023,5.001,16.29,1.693,3.365,104.8,6.908,4.82,0.4298,0.09609,18.05,76.36,3.663,0.005408,10.46,background,30/10/2017
0.06278,4.62,17.76,1509404093,3.147,3.246,1.651,5.871,17.21,1.84,4.047,96.73,3.455,5.143,2.76,0.08596,19.45,18.67,3.724,0.005989,8.127,background,30/10/2017
0.08125,4.202,7.861,1509409500,2.865,2.304,1.161,4.538,16.23,1.916,4.975,71.99,2.454,4.77,1.825,0.09391,18.04,9.224,3.368,0.00527,6.112,background,30/10/2017
0.06937,4.557,7.848,1509414898,2.798,1.947,1.249,5.5,17.66,2.16,5.669,61.12,1.681,5.098,1.634,0.08255,19.08,5.134,3.528,0.004708,5.523,background,30/10/2017
0.06338,4.412,18.01,1509420318,2.924,3.197,1.418,4.835,16.57,1.587,2.872,99.69,2.787,5.039,1.855,0.08738,19.04,12.56,3.619,0.005895,8.153,background,30/10/2017
0.07895,4.157,1.968,1509425733,2.815,1.367,1.325,5.902,15.82,2.033,5.149,73.86,1.383,4.834,1.644,0.1003,18.49,1.96,3.487,0.006712,6.031,background,30/10/2017
0.06897,4.186,26.62,1509431158,2.953,3.777,1.305,6.473,16.25,2.049,4.833,104.4,3.759,4.96,1.471,0.08866,18.76,26.94,3.594,0.005417,9.036,background,30/10/2017
0.06849,4.309,3.065,1509436575,3.04,1.659,1.566,5.18,16.35,1.93,4.904,55.67,1.358,4.909,3.295,0.08491,18.19,2.017,3.586,0.004957,5.71,background,30/10/2017
0.08065,4.21,16.89,1509442010,3.104,3.125,1.048,6.177,16.23,1.875,4.232,72.95,2.808,4.721,0.9072,0.09684,17.82,13.28,3.684,0.0058,6.777,background,30/10/2017
0.07596,4.345,6.742,1509447435,2.968,2.1,1.305,4.122,16.57,1.502,2.816,82.36,1.834,4.933,2.104,0.0954,18.95,4.864,3.445,0.006426,6.654,background,30/10/2017
0.07538,4.009,12.5,1509452849,2.988,2.789,1.028,4.799,15.71,1.551,2.778,103.4,3.154,4.906,0.5125,0.09865,18.44,17,3.507,0.006765,9.052,background,30/10/2017
