#energy	I[/16mm2/hour/keV]		
10.0	0.0000261
29.9	0.0003830
49.8	0.0012998
69.7	0.0028531
89.6	0.0050585
109.5	0.0078961
129.4	0.0113226
149.3	0.0152794
169.2	0.0196978
189.1	0.0245032
209.0	0.0296181
228.9	0.0349646
248.8	0.0404661
268.7	0.0460489
288.6	0.0516434
308.5	0.0571846
328.4	0.0626131
348.3	0.0678754
368.2	0.0729238
388.1	0.0777171
408.0	0.0822202
427.9	0.0864037
447.8	0.0902446
467.7	0.0937249
487.6	0.0968321
507.5	0.0995585
527.4	0.1019009
547.3	0.1038600
567.2	0.1054404
587.1	0.1066497
607.0	0.1074983
626.9	0.1079991
646.8	0.1081671
666.7	0.1080187
686.6	0.1075718
706.5	0.1068453
726.4	0.1058587
746.3	0.1046320
766.2	0.1031855
786.1	0.1015392
806.0	0.0997132
825.9	0.0977271
845.8	0.0955999
865.7	0.0933502
885.6	0.0909956
905.5	0.0885531
925.4	0.0860388
945.3	0.0834678
965.2	0.0808544
985.1	0.0782118
1005.0	0.0755525
1024.9	0.0728876
1044.8	0.0702276
1064.7	0.0675820
1084.6	0.0649594
1104.5	0.0623675
1124.4	0.0598131
1144.3	0.0573024
1164.2	0.0548406
1184.1	0.0524323
1204.0	0.0500816
1223.9	0.0477916
1243.8	0.0455651
1263.7	0.0434043
1283.6	0.0413109
1303.5	0.0392860
1323.4	0.0373306
1343.3	0.0354449
1363.2	0.0336292
1383.1	0.0318831
1403.0	0.0302062
1422.9	0.0285976
1442.8	0.0270565
1462.7	0.0255818
1482.6	0.0241720
1502.5	0.0228257
1522.4	0.0215414
1542.3	0.0203174
1562.2	0.0191520
1582.1	0.0180433
1602.0	0.0169896
1621.9	0.0159889
1641.8	0.0150393
1661.7	0.0141390
1681.6	0.0132861
1701.5	0.0124785
1721.4	0.0117146
1741.3	0.0109923
1761.2	0.0103100
1781.1	0.0096658
1801.0	0.0090579
1820.9	0.0084847
1840.8	0.0079445
1860.7	0.0074358
1880.6	0.0069568
1900.5	0.0065062
1920.4	0.0060826
1940.3	0.0056844
1960.2	0.0053103
1980.1	0.0049592
2000.0	0.0046296
