300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
4.55707333e-09,0,1,0.95240311,0.778,0.8,0,0.64783585,4.34017081e-09,2.81171824e-09,2.70132231e-09,3.47213665e-09,2.24937459e-09,1.75001343e-09
1,1,0,1,0.778,0.8,0.01001001,0.60029365,0,0,0,0,0,0
1,1,0,1,0.778,0.8,0.02002002,0.55275145,0,0,0,0,0,0
4.72862043e-09,0,1,0.95239538,0.778,0.8,0.03003003,0.50520925,4.50351624e-09,2.27521805e-09,2.80298851e-09,3.60281299e-09,1.82017444e-09,1.41609572e-09
8.91267143e-06,0,1,0.95449691,0.778,0.8,0.04004004,0.45766705,8.50711737e-06,3.89342728e-06,5.29482985e-06,6.80569389e-06,3.11474183e-06,2.42326914e-06
0.0004249183,7.2295343e-277,1,0.96250922,0.778,0.8,0.05005005,0.41012485,0.00040898778,0.00016773605,0.00025455399,0.00032719022,0.00013418884,0.00010439892
0.0030248154,7.77100949e-250,1,0.97230819,0.778,0.8,0.06006006,0.36258265,0.0029410527,0.0010663747,0.0018305112,0.0023528422,0.00085309975,0.0006637116
0.01107586,5.87776028e-248,1,0.97039704,0.778,0.8,0.07007007,0.31504045,0.010747982,0.0033860491,0.006689544,0.0085983856,0.0027088392,0.0021074769
0.034939419,8.97938645e-162,1,0.63970492,0.778,0.8,0.08008008,0.26749824,0.022350918,0.0059788314,0.013911212,0.017880735,0.0047830651,0.0037212247
0.067972189,5.04359721e-148,1,0.57928157,0.778,0.8,0.09009009,0.21995604,0.039375036,0.0086607772,0.024507022,0.031500029,0.0069286217,0.0053904677
0.018516752,0,1,0.55868641,0.778,0.8,0.1001001,0.17312761,0.010345058,0.0017910152,0.006438764,0.0082760462,0.0014328121,0.0011147278
0.002985679,0,1,0.54360792,0.778,0.8,0.11011011,0.19696234,0.0016230387,0.0003196775,0.0010101793,0.001298431,0.000255742,0.00019896728
0.00054098207,0,1,0.53170259,0.778,0.8,0.12012012,0.22079706,0.00028764157,6.3510412e-05,0.00017902811,0.00023011325,5.080833e-05,3.952888e-05
0.00042711177,0,1,0.53990628,0.778,0.8,0.13013013,0.24463178,0.00023060033,5.6412169e-05,0.00014352564,0.00018448026,4.5129735e-05,3.5110934e-05
0.00099638087,0,1,0.56207017,0.778,0.8,0.14014014,0.2684665,0.00056003596,0.0001503509,0.00034856638,0.00044802877,0.00012028072,9.3578398e-05
0.001186229,0,1,0.58214273,0.778,0.8,0.15015015,0.29230123,0.00069055461,0.00020184996,0.00042980119,0.00055244369,0.00016147997,0.00012563142
0.0014943041,0,1,0.60526964,0.778,0.8,0.16016016,0.31613595,0.00090445687,0.00028593133,0.00056293396,0.0007235655,0.00022874507,0.00017796366
0.0015148755,0,1,0.62643945,0.778,0.8,0.17017017,0.33997067,0.00094897778,0.00032262461,0.00059064377,0.00075918223,0.00025809969,0.00020080156
0.0046902269,0,1,0.64815502,0.778,0.8,0.18018018,0.36380539,0.0030399941,0.0011059662,0.0018920923,0.0024319953,0.000884773,0.00068835339
0.0073296713,0,1,0.68102067,0.778,0.8,0.19019019,0.38764012,0.0049916577,0.0019349668,0.0031068077,0.0039933261,0.0015479734,0.0012043233
0.010963765,0,1,0.71003242,0.778,0.8,0.2002002,0.41073388,0.0077846286,0.0031974107,0.0048451528,0.0062277029,0.0025579286,0.0019900684
0.015296408,0,1,0.73598035,0.778,0.8,0.21021021,0.39752078,0.011257856,0.0044752317,0.0070068896,0.0090062848,0.0035801853,0.0027853842
0.020451178,0,1,0.75895212,0.778,0.8,0.22022022,0.38430767,0.015521465,0.0059650179,0.0096605596,0.012417172,0.0047720143,0.0037126272
0.027736405,0,1,0.77750192,0.778,0.8,0.23023023,0.37109456,0.021565108,0.0080026942,0.013422123,0.017252086,0.0064021554,0.0049808769
0.036538423,0,1,0.79317639,0.778,0.8,0.24024024,0.35788146,0.028981414,0.010371911,0.018038032,0.023185132,0.0082975287,0.0064554773
0.046794087,0,1,0.80729542,0.778,0.8,0.25025025,0.34466835,0.037776652,0.013020417,0.023512188,0.030221322,0.010416333,0.0081039072
0.059119489,0,1,0.82006574,0.778,0.8,0.26026026,0.33145525,0.048481867,0.016069569,0.030175114,0.038785494,0.012855656,0.0100017
0.072798468,0,1,0.83256717,0.778,0.8,0.27027027,0.31824214,0.060609614,0.019288534,0.037723424,0.048487692,0.015430827,0.012005183
0.087688987,0,1,0.8460398,0.778,0.8,0.28028028,0.30502904,0.074188373,0.022629608,0.046174843,0.059350698,0.018103686,0.014084668
0.1036289,0,1,0.85810467,0.778,0.8,0.29029029,0.29181593,0.088924441,0.025949568,0.055346572,0.071139553,0.020759655,0.016151011
0.12063711,0,1,0.86892687,0.778,0.8,0.3003003,0.27925473,0.10482483,0.029272829,0.065242974,0.083859864,0.023418263,0.018219409
