runs,peaks,actThr
83,0.31565177,1.1814408
88,0.29377286,1.1490075
93,0.34542558,1.0129844
96,0.33306616,1.037122
102,0.23600896,1.3860996
108,0.24196597,1.3628334
110,0.24043517,1.3378869
116,0.2198525,1.6322904
118,0.22882931,1.5511969
120,0.21790095,1.6220849
122,0.15032074,2.1996759
126,0.16227212,2.1320892
128,0.16139669,2.1297765
145,0.15197298,2.3631421
147,0.15363608,2.3367071
149,0.16586276,2.1565445
151,0.16726298,2.1279764
153,0.17027513,2.074364
155,0.17219132,2.0642296
157,0.17280233,2.0225221
159,0.16996408,2.0684823
161,0.16831577,2.0728291
163,0.16096677,2.1450105
165,0.15594623,2.2499998
167,0.15757613,2.243637
169,0.15420887,2.2414356
171,0.15749433,2.21104
173,0.15734564,2.2561359
175,0.15408717,2.2812729
177,0.15425313,2.2502746
179,0.17162226,2.03604
181,0.16788321,2.0800876
183,0.16516409,2.1327313
185,0.15593282,2.1742928
187,0.15914762,2.1528563
