Type,Septem,Line,Fake,ε_cut,FractionPass,Fraction_σ
LineReal,false,true,Real,1,0.25322109,0.021194689
LineFake,false,true,Fake,1,0.85391176,0.0071901389
SeptemReal,true,false,Real,1,0.14116158,0.015524281
SeptemLineReal,true,true,Real,1,0.091743003,0.015024861
SeptemLineFake,true,true,Fake,1,0.78627941,0.013188783
SeptemFake,true,false,Fake,1,0.83105882,0.014531287
LineReal,false,true,Real,1.1,0.25399205,0.02085691
LineFake,false,true,Fake,1.1,0.85445588,0.0072063775
SeptemLineReal,true,true,Real,1.1,0.091839845,0.015032597
SeptemLineFake,true,true,Fake,1.1,0.78670588,0.01316363
LineReal,false,true,Real,1.2,0.25541373,0.020787838
LineFake,false,true,Fake,1.2,0.85554412,0.0069009459
SeptemLineReal,true,true,Real,1.2,0.092022868,0.015161736
SeptemLineFake,true,true,Fake,1.2,0.78742647,0.013244384
LineReal,false,true,Real,1.3,0.25740406,0.020589532
LineFake,false,true,Fake,1.3,0.85683824,0.0069077116
SeptemLineReal,true,true,Real,1.3,0.092362931,0.015216029
SeptemLineFake,true,true,Fake,1.3,0.78820588,0.013237157
LineReal,false,true,Real,1.4,0.26059959,0.019923319
LineFake,false,true,Fake,1.4,0.85866176,0.0069744498
SeptemLineReal,true,true,Real,1.4,0.092786322,0.015156791
SeptemLineFake,true,true,Fake,1.4,0.78914706,0.013131982
LineReal,false,true,Real,1.5,0.26385519,0.020025898
LineFake,false,true,Fake,1.5,0.86051471,0.006842219
SeptemLineReal,true,true,Real,1.5,0.093152801,0.015205928
SeptemLineFake,true,true,Fake,1.5,0.79010294,0.012879406
LineReal,false,true,Real,1.6,0.26828704,0.019925461
LineFake,false,true,Fake,1.6,0.86230882,0.0064237779
SeptemLineReal,true,true,Real,1.6,0.093522581,0.015213537
SeptemLineFake,true,true,Fake,1.6,0.79098529,0.012803656
LineReal,false,true,Real,1.7,0.27242873,0.01949348
LineFake,false,true,Fake,1.7,0.86464706,0.0061983506
SeptemLineReal,true,true,Real,1.7,0.094189073,0.015279052
SeptemLineFake,true,true,Fake,1.7,0.79191176,0.012648803
LineReal,false,true,Real,1.8,0.27670139,0.019931539
LineFake,false,true,Fake,1.8,0.86691176,0.0060651737
SeptemLineReal,true,true,Real,1.8,0.095184355,0.015775565
SeptemLineFake,true,true,Fake,1.8,0.79311765,0.012649726
LineReal,false,true,Real,1.9,0.28226507,0.020818746
LineFake,false,true,Fake,1.9,0.86913235,0.0059177063
SeptemLineReal,true,true,Real,1.9,0.095978338,0.016210939
SeptemLineFake,true,true,Fake,1.9,0.79408824,0.012555448
LineReal,false,true,Real,2,0.28888428,0.020768998
LineFake,false,true,Fake,2,0.87142647,0.0059410491
SeptemLineReal,true,true,Real,2,0.097031789,0.01595278
SeptemLineFake,true,true,Fake,2,0.795,0.012548729
