Type,Temperature,DateTime,Timestamp
IMB,34.8238,2017-04-18.05:44:06,1492487046
IMB,34.8607,2017-04-18.05:44:12,1492487052
IMB,34.8638,2017-04-18.05:44:17,1492487057
IMB,34.8761,2017-04-18.05:44:23,1492487063
IMB,34.9038,2017-04-18.05:44:28,1492487068
IMB,34.9146,2017-04-18.05:44:34,1492487074
IMB,34.953,2017-04-18.05:44:39,1492487079
IMB,35.0192,2017-04-18.05:44:45,1492487085
IMB,35.0161,2017-04-18.05:44:51,1492487091
IMB,35.0961,2017-04-18.05:44:56,1492487096
IMB,35.1392,2017-04-18.05:45:02,1492487102
IMB,35.1992,2017-04-18.05:45:07,1492487107
IMB,35.2192,2017-04-18.05:45:13,1492487113
IMB,35.2453,2017-04-18.05:45:18,1492487118
IMB,35.2746,2017-04-18.05:45:24,1492487124
IMB,35.3177,2017-04-18.05:45:29,1492487129
IMB,35.3485,2017-04-18.05:45:35,1492487135
IMB,35.4115,2017-04-18.05:45:40,1492487140
IMB,35.4562,2017-04-18.05:45:46,1492487146
IMB,35.4977,2017-04-18.05:45:51,1492487151
IMB,35.5639,2017-04-18.05:45:57,1492487157
IMB,35.6285,2017-04-18.05:46:03,1492487163
IMB,35.647,2017-04-18.05:46:08,1492487168
IMB,35.6762,2017-04-18.05:46:14,1492487174
IMB,35.7362,2017-04-18.05:46:19,1492487179
IMB,35.7978,2017-04-18.05:46:25,1492487185
IMB,35.8532,2017-04-18.05:46:30,1492487190
IMB,35.9055,2017-04-18.05:46:36,1492487196
IMB,35.9132,2017-04-18.05:46:41,1492487201
IMB,35.9332,2017-04-18.05:46:47,1492487207
IMB,35.9917,2017-04-18.05:46:52,1492487212
IMB,36.0609,2017-04-18.05:46:58,1492487218
IMB,36.0979,2017-04-18.05:47:04,1492487224
IMB,36.0163,2017-04-18.05:47:09,1492487229
IMB,36.0271,2017-04-18.05:47:15,1492487235
IMB,36.0409,2017-04-18.05:47:20,1492487240
IMB,36.0332,2017-04-18.05:47:26,1492487246
IMB,36.0501,2017-04-18.05:47:31,1492487251
IMB,36.0255,2017-04-18.05:47:37,1492487257
IMB,36.0255,2017-04-18.05:47:42,1492487262
IMB,36.044,2017-04-18.05:47:48,1492487268
IMB,36.0686,2017-04-18.05:47:54,1492487274
IMB,36.084,2017-04-18.05:47:59,1492487279
IMB,36.0671,2017-04-18.05:48:05,1492487285
IMB,36.0779,2017-04-18.05:48:10,1492487290
IMB,36.0424,2017-04-18.05:48:16,1492487296
