time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-02-15 00:00:00,-0.3,-1.7,90,0,,200,1.8,12,1036.6,,1
2019-02-15 01:00:00,-0.7,-2.6,87,0,,230,3.6,3.7,1036.6,,1
2019-02-15 02:00:00,-1.7,-2.5,94,0,,280,1.8,7,1036.7,,1
2019-02-15 03:00:00,-1.9,-2.9,93,0,,240,1.8,13,1036.7,,1
2019-02-15 04:00:00,-2.1,-3.4,91,0,,320,1.8,3.7,1036.5,,1
2019-02-15 05:00:00,-2.5,-3.8,91,0,,330,1.8,13,1036.6,,1
2019-02-15 06:00:00,-2.7,-3.5,94,0,,290,1.8,12,1036.5,,1
2019-02-15 07:00:00,-2,-3.3,91,0,0,240,1.8,5.5,1036.4,0,1
2019-02-15 08:00:00,-1.8,-2.8,93,0,,330,1.8,12,1036.8,,1
2019-02-15 09:00:00,-0.1,-1.8,88,0,,300,1.8,13,1036.5,,2
2019-02-15 10:00:00,3.6,0.3,79,0,,110,1.8,5.5,1035.6,,1
2019-02-15 11:00:00,5.2,0,69,0,,70,3.6,10,1035.2,,2
2019-02-15 12:00:00,7.4,0.8,63,0,,20,3.6,11,1034.5,,2
2019-02-15 13:00:00,8.7,0.4,56,0,,70,5.4,9.3,1033.5,,1
2019-02-15 14:00:00,9.7,0.3,52,0,,80,7.6,15,1032.4,,1
2019-02-15 15:00:00,9.8,-0.4,49,0,,90,7.6,19,1031.7,,1
2019-02-15 16:00:00,10.5,-0.3,47,0,,80,5.4,9.3,1031.1,,1
2019-02-15 17:00:00,10,-0.2,49,0,,80,5.4,11,1030.9,,1
2019-02-15 18:00:00,7.3,-0.4,58,0,,60,3.6,6,1031.3,,1
2019-02-15 19:00:00,4.7,-0.7,68,0,0,50,1.8,7.4,1032,,1
2019-02-15 20:00:00,3.3,-1.5,71,0,,10,1.8,3,1032.4,,1
2019-02-15 21:00:00,2.5,-0.1,83,0,,360,1.8,6,1032.7,,1
2019-02-15 22:00:00,0.5,-1.4,87,0,,340,3.6,5.5,1033.2,,1
2019-02-15 23:00:00,0.5,-1.3,88,0,,250,3.6,5,1033.4,,1
2019-02-16 00:00:00,-0.3,-1.7,90,0,,310,3.6,5,1033.6,,1
2019-02-16 01:00:00,-1.2,-2.2,93,0,,310,5.4,5.5,1034.1,,1
2019-02-16 02:00:00,-0.9,-2.5,89,0,,280,3.6,11,1034,,1
2019-02-16 03:00:00,-1.9,-2.7,94,0,,320,3.6,13,1034.2,,1
2019-02-16 04:00:00,-1.9,-3.3,90,0,,210,3.6,3.7,1034.1,,1
2019-02-16 05:00:00,-2.5,-3.6,92,0,,270,3.6,11,1034.2,,1
2019-02-16 06:00:00,-3.2,-4.2,93,0,,340,1.8,12,1034.4,,5
2019-02-16 07:00:00,-2.5,-3.2,95,0,0,280,1.8,7.4,1034.3,,1
2019-02-16 08:00:00,-1.9,-2.7,94,0,,310,5.4,10,1034.4,,1
2019-02-16 09:00:00,-0.1,-1.4,91,0,,220,1.8,7,1034.3,,1
2019-02-16 10:00:00,3.8,0.3,78,0,,190,1.8,5.5,1033.4,,1
2019-02-16 11:00:00,6.2,0.5,67,0,,170,3.6,12,1032.7,,2
2019-02-16 12:00:00,8.4,0.6,58,0,,60,5.4,10,1032,,2
2019-02-16 13:00:00,9.5,-0.1,51,0,,90,5.4,11.1,1031,,1
2019-02-16 14:00:00,11.2,0.3,47,0,,70,3.6,10,1029.9,,1
2019-02-16 15:00:00,11.9,0.9,47,0,,80,7.6,13,1029,,1
2019-02-16 16:00:00,12.2,1.2,47,0,,80,7.6,9.3,1028.5,,1
2019-02-16 17:00:00,10.8,1.3,52,0,,90,5.4,16,1028.4,,1
